dd_recover,dd_warn,dd_hard,vol_upper,vol_scale,annual_return,sharpe_full,max_dd,win_rate,pl_ratio,n_trades,calmar
0.1,0.15,0.2,0.65,0.6,0.7856952209607373,2.349064596693473,-0.16733626859106318,0.5,2.899495253494016,40,4.695307376463102
0.08,0.12,0.18,0.65,0.6,0.7696598758328437,2.3298453365940546,-0.16733626859106338,0.5,2.910481485233545,40,4.59948030223059
0.08,0.12,0.2,0.65,0.6,0.7696598758328437,2.3298453365940546,-0.16733626859106338,0.5,2.910481485233545,40,4.59948030223059
0.08,0.15,0.18,0.65,0.5,0.7561374928533169,2.3248436293795187,-0.16644836680212025,0.5,2.9183519193601626,40,4.542775052935575
0.08,0.15,0.2,0.65,0.5,0.7561374928533169,2.3248436293795187,-0.16644836680212025,0.5,2.9183519193601626,40,4.542775052935575
0.1,0.15,0.18,0.65,0.5,0.7552686986518091,2.315159290444295,-0.16644836680212022,0.5,2.9099043563338247,40,4.537555451127641
0.1,0.15,0.2,0.65,0.5,0.7552686986518091,2.315159290444295,-0.16644836680212022,0.5,2.9099043563338247,40,4.537555451127641
0.1,0.12,0.2,0.65,0.6,0.7483670640156088,2.2783221725177527,-0.1673362685910633,0.5,2.9046484141267856,40,4.472234655669507
0.1,0.12,0.18,0.65,0.6,0.7483670640156088,2.2783221725177527,-0.1673362685910633,0.5,2.9046484141267856,40,4.472234655669507
0.08,0.12,0.2,0.65,0.5,0.7391743289980512,2.294834674939591,-0.16644836680212025,0.5,2.9209404094131903,40,4.440862585548499
0.08,0.12,0.18,0.65,0.5,0.7391743289980512,2.294834674939591,-0.16644836680212025,0.5,2.9209404094131903,40,4.440862585548499
0.1,0.12,0.18,0.65,0.5,0.7182483238314974,2.2425210061550547,-0.16644836680212036,0.5,2.9150727361044066,40,4.315141886433973
0.1,0.12,0.2,0.65,0.5,0.7182483238314974,2.2425210061550547,-0.16644836680212036,0.5,2.9150727361044066,40,4.315141886433973
