date,close,exp411_equity,exp412_equity,exp411_pos,exp412_pos,dd_control,vol_control,signal_state,regime
2024-07-30,81150.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-07-31,82700.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-01,80850.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-02,81000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-05,81500.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-06,81250.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-07,80300.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-08,78500.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-09,77550.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-12,76000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-13,77000.0,1.1497273549027973,1.1188080434270398,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-14,73450.0,1.1794619919749199,1.1477430348254893,-0.6,-0.6,1.0,1.0,ham_only,downtrend
2024-08-15,72400.0,1.189578548202887,1.1575875292018005,-0.6,-0.6,1.0,1.0,ham_only,downtrend
2024-08-16,72950.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-19,73400.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-20,75000.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-21,77900.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-08-22,75450.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-23,73350.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,downtrend
2024-08-26,74350.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-08-27,76150.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-08-28,75750.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-08-29,76850.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-08-30,78900.0,1.187437306816122,1.1555038716492372,0.0,0.0,1.0,1.0,flat,range
2024-09-02,75200.0,1.239559634125327,1.2062244870951537,-1.0,-1.0,1.0,1.0,ham_only,range
2024-09-03,74900.0,1.24450468585721,1.2110365528681397,-1.0,-1.0,1.0,1.0,ham_only,range
2024-09-04,73600.0,1.2407711717996384,1.2074034432095353,0.0,0.0,1.0,1.0,flat,range
2024-09-05,70750.0,1.267365483469983,1.2332825611406752,-0.6,-0.6,1.0,1.0,ham_only,range
2024-09-06,71200.0,1.2625288943457866,1.2285760411193611,-0.6,-0.6,1.0,1.0,ham_only,range
2024-09-09,73150.0,1.2602563423359643,1.2263646042453462,0.0,0.0,1.0,1.0,flat,range
2024-09-10,72150.0,1.2602563423359643,1.2263646042453462,0.0,0.0,1.0,1.0,flat,range
2024-09-11,78450.0,1.3665187466522215,1.329769322029917,1.0,1.0,1.0,1.0,ham_only,range
2024-09-12,76950.0,1.3403902811330586,1.3043435223735131,1.0,1.0,1.0,1.0,ham_only,range
2024-09-13,77550.0,1.3363691102896593,1.3004304918063927,0.0,0.0,1.0,1.0,flat,range
2024-09-18,75300.0,1.3363691102896593,1.3004304918063927,0.0,0.0,1.0,1.0,flat,range
2024-09-19,75700.0,1.3363691102896593,1.3004304918063927,0.0,0.0,1.0,1.0,flat,range
2024-09-20,75300.0,1.3363691102896593,1.3004304918063927,0.0,0.0,1.0,1.0,flat,range
2024-09-23,74850.0,1.3363691102896593,1.3004304918063927,0.0,0.0,1.0,1.0,flat,range
2024-09-24,76800.0,1.3548527822844432,1.318417087334147,0.6,0.6,1.0,1.0,ham_only,range
2024-09-25,76250.0,1.3490311492355647,1.3127520139120081,0.6,0.6,1.0,1.0,ham_only,range
2024-09-26,77050.0,1.3466028931669407,1.3103890602869666,0.0,0.0,1.0,1.0,flat,range
2024-09-27,76950.0,1.3466028931669407,1.3103890602869666,0.0,0.0,1.0,1.0,flat,range
2024-09-30,79750.0,1.391562280080259,1.3541393663849035,1.0,1.0,1.0,1.0,ham_only,range
2024-10-08,76650.0,1.337470203989365,1.301501974086556,1.0,1.0,1.0,1.0,ham_only,range
2024-10-09,76400.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-10,73700.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-11,73900.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-14,73100.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-15,73400.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-16,71150.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
2024-10-17,68600.0,1.3334577933773968,1.2975974681642963,0.0,0.0,1.0,1.0,flat,range
