date,alpha_t,beta_t,disagreement,deviation
2024-10-15,0.1,0.3,0.1611111111111112,0.1611111111111112
2024-10-16,0.1,0.3,-0.7277777777777777,0.7277777777777777
2024-10-17,0.1,0.3,-0.7944444444444444,0.7944444444444444
2024-10-18,0.1,0.3,0.7833333333333334,0.7833333333333334
2024-10-21,0.1,0.3,0.7166666666666668,0.7166666666666668
2024-10-22,0.1,0.3,0.588888888888889,0.588888888888889
2024-10-23,0.1,0.3,0.6444444444444444,0.6444444444444444
2024-10-24,0.1,0.3,-0.3555555555555555,0.3555555555555555
2024-10-25,0.1,0.3,0.2666666666666666,0.2666666666666666
2024-10-28,0.1,0.3,0.7611111111111111,0.7611111111111111
2024-10-29,0.1,0.3,-0.5611111111111111,0.5611111111111111
2024-10-30,0.1,0.3,-0.35,0.35
2024-10-31,0.1,0.3,0.4722222222222223,0.4722222222222223
2024-11-01,0.1,0.3,0.6722222222222223,0.6722222222222223
2024-11-04,0.1,0.3,0.3666666666666667,0.3666666666666667
2024-11-05,0.1,0.3,0.03333333333333344,0.03333333333333344
2024-11-06,0.1,0.3,-0.5,0.5
2024-11-07,0.1,0.3,0.43333333333333335,0.43333333333333335
2024-11-08,0.1,0.3,-0.1333333333333333,0.1333333333333333
2024-11-11,0.1,0.3,0.95,0.95
2024-11-12,0.1,0.3,0.10555555555555562,0.10555555555555562
2024-11-13,0.1,0.3,0.95,0.95
2024-11-14,0.1,0.3,-0.9611111111111111,0.9611111111111111
2024-11-15,0.1,0.3,-0.8,0.8
2024-11-18,0.1,0.3,0.8500000000000001,0.8500000000000001
2024-11-19,0.1,0.3,0.6611111111111112,0.6611111111111112
2024-11-20,0.1,0.3,0.0277777777777779,0.0277777777777779
2024-11-21,0.1,0.3,-0.21666666666666667,0.21666666666666667
2024-11-22,0.1,0.3,-0.75,0.75
2024-11-25,0.1,0.3,0.40555555555555567,0.40555555555555567
2024-11-26,0.1,0.3,-0.5555555555555556,0.5555555555555556
2024-11-27,0.1,0.3,0.016666666666666607,0.016666666666666607
2024-11-28,0.1,0.3,0.05555555555555558,0.05555555555555558
2024-11-29,0.1,0.3,0.06666666666666665,0.06666666666666665
2024-12-02,0.1,0.3,-0.02777777777777779,0.02777777777777779
2024-12-03,0.1,0.3,-0.07777777777777772,0.07777777777777772
