date,deviation,disagreement,alpha_t,beta_t,open_signal,signal_dir,pos_A,pos_B,action_A,action_B,shadow_active_A,shadow_active_B
2024-09-25,0.10555555555555551,-0.10555555555555551,0.1,0.3,False,-1,0.3,0.3,HOLD,HOLD,1,1
2024-09-26,0.41666666666666674,0.41666666666666674,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-09-27,0.04444444444444451,0.04444444444444451,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-09-30,0.8611111111111112,0.8611111111111112,0.1,0.3,True,1,0.5,0.5,OPEN_LONG,OPEN_LONG,1,1
2024-10-08,0.85,-0.85,0.1,0.3,True,-1,0.5,0.5,HOLD,HOLD,1,1
2024-10-09,0.011111111111111072,0.011111111111111072,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-10-10,0.8055555555555556,-0.8055555555555556,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-11,0.12222222222222223,0.12222222222222223,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-14,0.1777777777777778,-0.1777777777777778,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-15,0.1611111111111112,0.1611111111111112,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-16,0.7277777777777777,-0.7277777777777777,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-17,0.7944444444444444,-0.7944444444444444,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-18,0.7833333333333334,0.7833333333333334,0.1,0.3,True,1,0.6,0.6,OPEN_LONG,OPEN_LONG,1,1
2024-10-21,0.7166666666666668,0.7166666666666668,0.1,0.3,False,1,0.6,0.6,HOLD,HOLD,1,1
2024-10-22,0.588888888888889,0.588888888888889,0.1,0.3,False,1,0.6,0.6,HOLD,HOLD,1,1
2024-10-23,0.6444444444444444,0.6444444444444444,0.1,0.3,False,1,0.6,0.6,HOLD,HOLD,1,1
2024-10-24,0.3555555555555555,-0.3555555555555555,0.1,0.3,False,-1,0.6,0.6,HOLD,HOLD,1,1
2024-10-25,0.2666666666666666,0.2666666666666666,0.1,0.3,False,1,0.0,0.0,CLOSE,CLOSE,0,0
2024-10-28,0.7611111111111111,0.7611111111111111,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-29,0.5611111111111111,-0.5611111111111111,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-30,0.35,-0.35,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-10-31,0.4722222222222223,0.4722222222222223,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-01,0.6722222222222223,0.6722222222222223,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-04,0.3666666666666667,0.3666666666666667,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-05,0.03333333333333344,0.03333333333333344,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-06,0.5,-0.5,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-07,0.43333333333333335,0.43333333333333335,0.1,0.3,False,1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-08,0.1333333333333333,-0.1333333333333333,0.1,0.3,False,-1,0.0,0.0,HOLD_FLAT,HOLD_FLAT,0,0
2024-11-11,0.95,0.95,0.1,0.3,True,1,1.0,1.0,OPEN_LONG,OPEN_LONG,1,1
2024-11-12,0.10555555555555562,0.10555555555555562,0.1,0.3,False,1,1.0,1.0,HOLD,HOLD,1,1
2024-11-13,0.95,0.95,0.1,0.3,True,1,0.5,0.5,DECREASE,DECREASE,1,1
2024-11-14,0.9611111111111111,-0.9611111111111111,0.1,0.3,True,-1,0.5,0.5,HOLD,HOLD,1,1
2024-11-15,0.8,-0.8,0.1,0.3,False,-1,0.0,0.0,CLOSE,CLOSE,0,0
2024-11-18,0.8500000000000001,0.8500000000000001,0.1,0.3,True,1,0.35,0.35,OPEN_LONG,OPEN_LONG,1,1
2024-11-19,0.6611111111111112,0.6611111111111112,0.1,0.3,False,1,0.5,0.5,INCREASE,INCREASE,1,1
