date,position,close,price_ret,strat_ret,cost_ret,net_ret,equity
2024-11-15,0.0,78300.0,-0.033333,-0.0,0.003,-0.003,1.367714
2024-11-18,0.42,80950.0,0.033844,0.014215,0.00126,0.012955,1.385433
2024-11-19,0.42,82650.0,0.021001,0.00882,0.0,0.00882,1.397652
2024-11-20,0.6,82700.0,0.000605,0.000363,0.00054,-0.000177,1.397405
2024-11-21,0.0,81950.0,-0.009069,-0.0,0.0018,-0.0018,1.39489
2024-11-22,0.0,79500.0,-0.029896,-0.0,0.0,-0.0,1.39489
2024-11-25,0.0,80350.0,0.010692,0.0,0.0,0.0,1.39489
2024-11-26,0.0,78650.0,-0.021157,-0.0,0.0,-0.0,1.39489
2024-11-27,0.0,78500.0,-0.001907,-0.0,0.0,-0.0,1.39489
2024-11-28,0.0,78500.0,0.0,0.0,0.0,0.0,1.39489
2024-11-29,0.0,78550.0,0.000637,0.0,0.0,0.0,1.39489
2024-12-02,0.0,78300.0,-0.003183,-0.0,0.0,-0.0,1.39489
2024-12-03,0.0,78000.0,-0.003831,-0.0,0.0,-0.0,1.39489
2024-12-04,0.0,76300.0,-0.021795,-0.0,0.0,-0.0,1.39489
2024-12-05,0.0,76500.0,0.002621,0.0,0.0,0.0,1.39489
2024-12-06,0.0,76650.0,0.001961,0.0,0.0,0.0,1.39489
2024-12-09,0.0,76800.0,0.001957,0.0,0.0,0.0,1.39489
2024-12-10,0.0,76600.0,-0.002604,-0.0,0.0,-0.0,1.39489
2024-12-11,0.0,76650.0,0.000653,0.0,0.0,0.0,1.39489
2024-12-12,0.0,77050.0,0.005219,0.0,0.0,0.0,1.39489
2024-12-13,0.0,75800.0,-0.016223,-0.0,0.0,-0.0,1.39489
2024-12-16,0.0,76000.0,0.002639,0.0,0.0,0.0,1.39489
2024-12-17,0.0,75200.0,-0.010526,-0.0,0.0,-0.0,1.39489
2024-12-18,0.0,74360.0,-0.01117,-0.0,0.0,-0.0,1.39489
2024-12-19,0.0,73920.0,-0.005917,-0.0,0.0,-0.0,1.39489
2024-12-20,1.0,77880.0,0.053571,0.053571,0.003,0.050571,1.465431
2024-12-23,1.0,77180.0,-0.008988,-0.008988,0.0,-0.008988,1.45226
2024-12-24,0.0,78200.0,0.013216,0.0,0.003,-0.003,1.447903
2024-12-25,0.0,77500.0,-0.008951,-0.0,0.0,-0.0,1.447903
2024-12-26,0.0,77520.0,0.000258,0.0,0.0,0.0,1.447903
2024-12-27,0.0,76500.0,-0.013158,-0.0,0.0,-0.0,1.447903
2024-12-30,0.6,78320.0,0.023791,0.014275,0.0018,0.012475,1.465965
2024-12-31,0.6,77100.0,-0.015577,-0.009346,0.0,-0.009346,1.452263
2025-01-02,0.0,77800.0,0.009079,0.0,0.0018,-0.0018,1.449649
2025-01-03,0.0,76380.0,-0.018252,-0.0,0.0,-0.0,1.449649
2025-01-06,0.0,77660.0,0.016758,0.0,0.0,0.0,1.449649
2025-01-07,0.0,78820.0,0.014937,0.0,0.0,0.0,1.449649
2025-01-08,0.0,77180.0,-0.020807,-0.0,0.0,-0.0,1.449649
2025-01-09,0.0,78240.0,0.013734,0.0,0.0,0.0,1.449649
2025-01-10,0.0,77920.0,-0.00409,-0.0,0.0,-0.0,1.449649
2025-01-13,0.0,78760.0,0.01078,0.0,0.0,0.0,1.449649
2025-01-14,0.0,79100.0,0.004317,0.0,0.0,0.0,1.449649
2025-01-15,0.0,80260.0,0.014665,0.0,0.0,0.0,1.449649
2025-01-16,0.0,79860.0,-0.004984,-0.0,0.0,-0.0,1.449649
2025-01-17,0.0,80740.0,0.011019,0.0,0.0,0.0,1.449649
2025-01-20,0.0,80720.0,-0.000248,-0.0,0.0,-0.0,1.449649
2025-01-21,0.0,78520.0,-0.027255,-0.0,0.0,-0.0,1.449649
2025-01-22,0.0,79200.0,0.00866,0.0,0.0,0.0,1.449649
2025-01-23,0.0,79580.0,0.004798,0.0,0.0,0.0,1.449649
2025-01-24,0.0,79580.0,0.0,0.0,0.0,0.0,1.449649
2025-01-27,0.0,79620.0,0.000503,0.0,0.0,0.0,1.449649
2025-02-05,0.0,78120.0,-0.018839,-0.0,0.0,-0.0,1.449649
2025-02-06,0.0,77500.0,-0.007937,-0.0,0.0,-0.0,1.449649
2025-02-07,0.0,77800.0,0.003871,0.0,0.0,0.0,1.449649
2025-02-10,0.0,78600.0,0.010283,0.0,0.0,0.0,1.449649
2025-02-11,0.0,77300.0,-0.016539,-0.0,0.0,-0.0,1.449649
2025-02-12,0.0,77500.0,0.002587,0.0,0.0,0.0,1.449649
2025-02-13,0.0,77300.0,-0.002581,-0.0,0.0,-0.0,1.449649
2025-02-14,0.0,76780.0,-0.006727,-0.0,0.0,-0.0,1.449649
2025-02-17,0.0,77160.0,0.004949,0.0,0.0,0.0,1.449649
2025-02-18,0.0,77060.0,-0.001296,-0.0,0.0,-0.0,1.449649
2025-02-19,0.0,77300.0,0.003114,0.0,0.0,0.0,1.449649
2025-02-20,0.0,77180.0,-0.001552,-0.0,0.0,-0.0,1.449649
2025-02-21,0.0,76620.0,-0.007256,-0.0,0.0,-0.0,1.449649
2025-02-24,0.0,76720.0,0.001305,0.0,0.0,0.0,1.449649
2025-02-25,0.0,76640.0,-0.001043,-0.0,0.0,-0.0,1.449649
2025-02-26,0.0,76000.0,-0.008351,-0.0,0.0,-0.0,1.449649
2025-02-27,0.0,76140.0,0.001842,0.0,0.0,0.0,1.449649
2025-02-28,0.0,75200.0,-0.012346,-0.0,0.0,-0.0,1.449649
2025-03-03,0.0,75400.0,0.00266,0.0,0.0,0.0,1.449649
2025-03-04,0.0,75260.0,-0.001857,-0.0,0.0,-0.0,1.449649
2025-03-05,0.0,75340.0,0.001063,0.0,0.0,0.0,1.449649
2025-03-06,0.0,76800.0,0.019379,0.0,0.0,0.0,1.449649
2025-03-07,0.0,76120.0,-0.008854,-0.0,0.0,-0.0,1.449649
2025-03-10,0.0,75760.0,-0.004729,-0.0,0.0,-0.0,1.449649
2025-03-11,0.0,75960.0,0.00264,0.0,0.0,0.0,1.449649
2025-03-12,0.0,75600.0,-0.004739,-0.0,0.0,-0.0,1.449649
2025-03-13,0.0,75340.0,-0.003439,-0.0,0.0,-0.0,1.449649
2025-03-14,0.0,75540.0,0.002655,0.0,0.0,0.0,1.449649
2025-03-17,0.0,76240.0,0.009267,0.0,0.0,0.0,1.449649
2025-03-18,0.0,75400.0,-0.011018,-0.0,0.0,-0.0,1.449649
2025-03-19,0.0,75200.0,-0.002653,-0.0,0.0,-0.0,1.449649
2025-03-20,0.0,73260.0,-0.025798,-0.0,0.0,-0.0,1.449649
2025-03-21,0.0,73240.0,-0.000273,-0.0,0.0,-0.0,1.449649
2025-03-24,0.0,73720.0,0.006554,0.0,0.0,0.0,1.449649
2025-03-25,0.0,73800.0,0.001085,0.0,0.0,0.0,1.449649
2025-03-26,0.0,74480.0,0.009214,0.0,0.0,0.0,1.449649
2025-03-27,0.0,74380.0,-0.001343,-0.0,0.0,-0.0,1.449649
2025-03-28,0.0,74000.0,-0.005109,-0.0,0.0,-0.0,1.449649
2025-03-31,0.0,74160.0,0.002162,0.0,0.0,0.0,1.449649
2025-04-01,0.0,74360.0,0.002697,0.0,0.0,0.0,1.449649
2025-04-02,0.0,73340.0,-0.013717,-0.0,0.0,-0.0,1.449649
2025-04-03,0.0,73160.0,-0.002454,-0.0,0.0,-0.0,1.449649
2025-04-07,0.0,71060.0,-0.028704,-0.0,0.0,-0.0,1.449649
2025-04-08,0.0,70280.0,-0.010977,-0.0,0.0,-0.0,1.449649
2025-04-09,0.0,69900.0,-0.005407,-0.0,0.0,-0.0,1.449649
2025-04-10,0.0,70540.0,0.009156,0.0,0.0,0.0,1.449649
2025-04-11,0.0,70260.0,-0.003969,-0.0,0.0,-0.0,1.449649
2025-04-14,0.0,70760.0,0.007116,0.0,0.0,0.0,1.449649
2025-04-15,0.0,70720.0,-0.000565,-0.0,0.0,-0.0,1.449649
2025-04-16,0.0,70380.0,-0.004808,-0.0,0.0,-0.0,1.449649
2025-04-17,0.0,70460.0,0.001137,0.0,0.0,0.0,1.449649
2025-04-18,0.0,70180.0,-0.003974,-0.0,0.0,-0.0,1.449649
2025-04-21,0.0,69000.0,-0.016814,-0.0,0.0,-0.0,1.449649
2025-04-22,0.0,67840.0,-0.016812,-0.0,0.0,-0.0,1.449649
2025-04-23,0.0,68980.0,0.016804,0.0,0.0,0.0,1.449649
2025-04-24,0.0,68300.0,-0.009858,-0.0,0.0,-0.0,1.449649
2025-04-25,0.0,68180.0,-0.001757,-0.0,0.0,-0.0,1.449649
2025-04-28,0.0,66960.0,-0.017894,-0.0,0.0,-0.0,1.449649
2025-04-29,0.0,66260.0,-0.010454,-0.0,0.0,-0.0,1.449649
2025-04-30,0.0,65960.0,-0.004528,-0.0,0.0,-0.0,1.449649
2025-05-06,0.0,65260.0,-0.010612,-0.0,0.0,-0.0,1.449649
2025-05-07,0.0,64160.0,-0.016856,-0.0,0.0,-0.0,1.449649
2025-05-08,0.0,64280.0,0.00187,0.0,0.0,0.0,1.449649
2025-05-09,0.0,63020.0,-0.019602,-0.0,0.0,-0.0,1.449649
2025-05-12,0.0,64040.0,0.016185,0.0,0.0,0.0,1.449649
2025-05-13,0.0,63220.0,-0.012804,-0.0,0.0,-0.0,1.449649
2025-05-14,0.0,65200.0,0.031319,0.0,0.0,0.0,1.449649
2025-05-15,0.0,64120.0,-0.016564,-0.0,0.0,-0.0,1.449649
2025-05-16,-1.0,61800.0,-0.036182,0.036182,0.003,0.033182,1.497752
2025-05-19,0.0,61180.0,-0.010032,-0.0,0.003,-0.003,1.493259
2025-05-20,0.0,60860.0,-0.00523,-0.0,0.0,-0.0,1.493259
2025-05-21,0.0,61100.0,0.003943,0.0,0.0,0.0,1.493259
2025-05-22,0.0,62140.0,0.017021,0.0,0.0,0.0,1.493259
2025-05-23,0.0,60960.0,-0.018989,-0.0,0.0,-0.0,1.493259
2025-05-26,0.0,60100.0,-0.014108,-0.0,0.0,-0.0,1.493259
2025-05-27,0.0,60920.0,0.013644,0.0,0.0,0.0,1.493259
2025-05-28,0.0,60380.0,-0.008864,-0.0,0.0,-0.0,1.493259
2025-05-29,1.0,58860.0,-0.025174,-0.025174,0.003,-0.028174,1.451188
2025-05-30,1.0,59800.0,0.01597,0.01597,0.0,0.01597,1.474363
2025-06-03,1.0,59940.0,0.002341,0.002341,0.0,0.002341,1.477815
2025-06-04,1.0,61080.0,0.019019,0.019019,0.0,0.019019,1.505922
2025-06-05,1.0,60100.0,-0.016045,-0.016045,0.0,-0.016045,1.48176
2025-06-06,1.0,60440.0,0.005657,0.005657,0.0,0.005657,1.490142
2025-06-09,1.0,60700.0,0.004302,0.004302,0.0,0.004302,1.496553
2025-06-10,1.0,60760.0,0.000988,0.000988,0.0,0.000988,1.498032
2025-06-11,1.0,61740.0,0.016129,0.016129,0.0,0.016129,1.522194
2025-06-12,1.0,60480.0,-0.020408,-0.020408,0.0,-0.020408,1.491129
2025-06-13,1.0,59800.0,-0.011243,-0.011243,0.0,-0.011243,1.474363
2025-06-16,1.0,59780.0,-0.000334,-0.000334,0.0,-0.000334,1.47387
2025-06-17,1.0,59860.0,0.001338,0.001338,0.0,0.001338,1.475843
2025-06-18,1.0,59880.0,0.000334,0.000334,0.0,0.000334,1.476336
2025-06-19,1.0,60060.0,0.003006,0.003006,0.0,0.003006,1.480774
2025-06-20,1.0,58900.0,-0.019314,-0.019314,0.0,-0.019314,1.452174
2025-06-23,1.0,59120.0,0.003735,0.003735,0.0,0.003735,1.457598
2025-06-24,1.0,60700.0,0.026725,0.026725,0.0,0.026725,1.496553
2025-06-25,1.0,60880.0,0.002965,0.002965,0.0,0.002965,1.500991
2025-06-26,0.7,61500.0,0.010184,0.007129,0.0009,0.006229,1.51034
2025-06-27,1.0,63300.0,0.029268,0.029268,0.0009,0.028368,1.553186
2025-06-30,1.0,62260.0,-0.01643,-0.01643,0.0,-0.01643,1.527667
2025-07-01,0.7,62780.0,0.008352,0.005846,0.0009,0.004946,1.535224
2025-07-02,0.7,63960.0,0.018796,0.013157,0.0,0.013157,1.555423
2025-07-03,0.7,64080.0,0.001876,0.001313,0.0,0.001313,1.557466
2025-07-04,0.7,63280.0,-0.012484,-0.008739,0.0,-0.008739,1.543855
2025-07-07,0.7,63660.0,0.006005,0.004204,0.0,0.004204,1.550344
2025-07-08,0.7,63880.0,0.003456,0.002419,0.0,0.002419,1.554095
2025-07-09,0.7,64400.0,0.00814,0.005698,0.0,0.005698,1.56295
2025-07-10,0.7,64180.0,-0.003416,-0.002391,0.0,-0.002391,1.559213
2025-07-11,0.7,64280.0,0.001558,0.001091,0.0,0.001091,1.560914
2025-07-14,0.7,66480.0,0.034225,0.023958,0.0,0.023958,1.598309
2025-07-15,0.0,66660.0,0.002708,0.0,0.0021,-0.0021,1.594953
2025-07-16,0.0,66420.0,-0.0036,-0.0,0.0,-0.0,1.594953
2025-07-17,1.0,67960.0,0.023186,0.023186,0.003,0.020186,1.627148
2025-07-18,1.0,69960.0,0.029429,0.029429,0.0,0.029429,1.675034
2025-07-21,1.0,71280.0,0.018868,0.018868,0.0,0.018868,1.706638
2025-07-22,1.0,72880.0,0.022447,0.022447,0.0,0.022447,1.744947
2025-07-23,-1.0,69380.0,-0.048024,0.048024,0.006,0.042024,1.818277
2025-07-24,-1.0,76680.0,0.105218,-0.105218,0.0,-0.105218,1.626962
2025-07-25,0.7,80520.0,0.050078,0.035055,0.0051,0.029955,1.675697
2025-07-28,0.35,73120.0,-0.091903,-0.032166,0.00105,-0.033216,1.620037
2025-07-29,0.0,70840.0,-0.031182,-0.0,0.00105,-0.00105,1.618336
2025-07-30,0.0,70600.0,-0.003388,-0.0,0.0,-0.0,1.618336
2025-07-31,-0.21,68280.0,-0.032861,0.006901,0.00063,0.006271,1.628485
2025-08-01,-0.21,68920.0,0.009373,-0.001968,0.0,-0.001968,1.625279
2025-08-04,0.0,68920.0,0.0,0.0,0.00063,-0.00063,1.624255
2025-08-05,0.0,67840.0,-0.01567,-0.0,0.0,-0.0,1.624255
2025-08-06,0.21,69620.0,0.026238,0.00551,0.00063,0.00488,1.632182
2025-08-07,-0.03499999999999999,72300.0,0.038495,-0.001347,0.000735,-0.002082,1.628783
2025-08-08,-0.03499999999999999,76960.0,0.064454,-0.002256,0.0,-0.002256,1.625108
2025-08-11,-0.03499999999999999,81000.0,0.052495,-0.001837,0.0,-0.001837,1.622123
2025-08-12,-0.03499999999999999,82520.0,0.018765,-0.000657,0.0,-0.000657,1.621057
2025-08-13,-0.03499999999999999,85100.0,0.031265,-0.001094,0.0,-0.001094,1.619283
2025-08-14,-0.03499999999999999,85300.0,0.00235,-8.2e-05,0.0,-8.2e-05,1.61915
2025-08-15,-0.24499999999999997,86900.0,0.018757,-0.004596,0.00063,-0.005226,1.610689
2025-08-18,-0.03499999999999999,89240.0,0.026928,-0.000942,0.00063,-0.001572,1.608156
2025-08-19,-0.03499999999999999,87540.0,-0.01905,0.000667,0.0,0.000667,1.609229
2025-08-20,-0.24499999999999997,80980.0,-0.074937,0.01836,0.00063,0.01773,1.63776
2025-08-21,-0.24499999999999997,82760.0,0.021981,-0.005385,0.0,-0.005385,1.62894
2025-08-22,-0.35,78960.0,-0.045916,0.016071,0.000315,0.015756,1.654605
2025-08-25,-0.7,79380.0,0.005319,-0.003723,0.00105,-0.004773,1.646707
2025-08-26,-0.48999999999999994,79020.0,-0.004535,0.002222,0.00063,0.001592,1.649329
2025-08-27,-0.48999999999999994,78860.0,-0.002025,0.000992,0.0,0.000992,1.650965
2025-08-28,-0.48999999999999994,78140.0,-0.00913,0.004474,0.0,0.004474,1.658351
2025-08-29,-0.48999999999999994,77180.0,-0.012286,0.00602,0.0,0.00602,1.668334
2025-09-01,-0.48999999999999994,75560.0,-0.02099,0.010285,0.0,0.010285,1.685493
2025-09-02,-0.7,72620.0,-0.038909,0.027237,0.00063,0.026607,1.730338
2025-09-03,-0.6,71880.0,-0.01019,0.006114,0.0003,0.005814,1.740399
2025-09-04,0.0,73420.0,0.021425,0.0,0.0018,-0.0018,1.737266
2025-09-05,0.0,74260.0,0.011441,0.0,0.0,0.0,1.737266
2025-09-08,-0.7,74800.0,0.007272,-0.00509,0.0021,-0.00719,1.724775
2025-09-09,-0.48999999999999994,72900.0,-0.025401,0.012447,0.00063,0.011817,1.745155
2025-09-10,-0.7,70720.0,-0.029904,0.020933,0.00063,0.020303,1.780587
2025-09-11,-0.7,71000.0,0.003959,-0.002771,0.0,-0.002771,1.775652
2025-09-12,-0.7,71160.0,0.002254,-0.001577,0.0,-0.001577,1.772851
2025-09-15,-0.7,72680.0,0.02136,-0.014952,0.0,-0.014952,1.746343
2025-09-16,-0.7,73180.0,0.006879,-0.004816,0.0,-0.004816,1.737933
2025-09-17,-0.7,73640.0,0.006286,-0.0044,0.0,-0.0044,1.730286
2025-09-18,-0.7,72880.0,-0.01032,0.007224,0.0,0.007224,1.742786
2025-09-19,-0.7,73960.0,0.014819,-0.010373,0.0,-0.010373,1.724708
2025-09-22,-0.48999999999999994,73420.0,-0.007301,0.003578,0.00063,0.002948,1.729792
2025-09-23,-0.7,73660.0,0.003269,-0.002288,0.00063,-0.002918,1.724744
2025-09-24,-0.48999999999999994,72880.0,-0.010589,0.005189,0.00063,0.004559,1.732606
2025-09-25,-0.7,74040.0,0.015917,-0.011142,0.00063,-0.011772,1.712211
2025-09-26,-0.48999999999999994,72880.0,-0.015667,0.007677,0.00063,0.007047,1.724277
2025-09-29,-0.48999999999999994,73920.0,0.01427,-0.006992,0.0,-0.006992,1.71222
2025-09-30,-0.48999999999999994,72800.0,-0.015152,0.007424,0.0,0.007424,1.724932
2025-10-09,-0.48999999999999994,73340.0,0.007418,-0.003635,0.0,-0.003635,1.718663
2025-10-10,-0.48999999999999994,72740.0,-0.008181,0.004009,0.0,0.004009,1.725552
2025-10-13,0.0,72280.0,-0.006324,-0.0,0.00147,-0.00147,1.723016
2025-10-14,0.0,72680.0,0.005534,0.0,0.0,0.0,1.723016
2025-10-15,0.0,72940.0,0.003577,0.0,0.0,0.0,1.723016
2025-10-16,0.0,75080.0,0.029339,0.0,0.0,0.0,1.723016
2025-10-17,0.0,75780.0,0.009323,0.0,0.0,0.0,1.723016
2025-10-20,0.0,75940.0,0.002111,0.0,0.0,0.0,1.723016
2025-10-21,0.0,75980.0,0.000527,0.0,0.0,0.0,1.723016
2025-10-22,0.0,77120.0,0.015004,0.0,0.0,0.0,1.723016
2025-10-23,0.0,79940.0,0.036566,0.0,0.0,0.0,1.723016
2025-10-24,0.0,79520.0,-0.005254,-0.0,0.0,-0.0,1.723016
2025-10-27,0.6,81900.0,0.02993,0.017958,0.0018,0.016158,1.750856
2025-10-28,0.6,81640.0,-0.003175,-0.001905,0.0,-0.001905,1.747521
2025-10-29,0.0,82900.0,0.015434,0.0,0.0018,-0.0018,1.744375
2025-10-30,0.0,83400.0,0.006031,0.0,0.0,0.0,1.744375
2025-10-31,-0.6,80780.0,-0.031415,0.018849,0.0018,0.017049,1.774115
