window,factor,test_start,test_end,ic_train,pval_train,n_train
15,f_stock_pct_5,2026-04-15,2026-05-15,-0.3065622463269484,2.8449231015219176e-05,180
15,f_stock_pct_20,2026-04-15,2026-05-15,-0.7138142123728097,2.4248937299883028e-29,180
15,f_basis_abs,2026-04-15,2026-05-15,-0.06630077538946302,0.37653715538944915,180
15,f_basis_pct_5,2026-04-15,2026-05-15,0.03286109653590131,0.6614408685991279,180
15,f_basis_pct_20,2026-04-15,2026-05-15,-0.0721400866281881,0.33586249095634324,180
15,f_spread_1_3,2026-04-15,2026-05-15,-0.052739913157893746,0.4819683694404841,180
15,f_spread_1_3_pct_5,2026-04-15,2026-05-15,-0.12065908151361289,0.10665028949983128,180
15,f_volume_pct_5,2026-04-15,2026-05-15,-0.005294402090599503,0.9437658615413113,180
15,f_oi_pct_5,2026-04-15,2026-05-15,0.030513287447143433,0.684286087893882,180
15,f_oi_pct_20,2026-04-15,2026-05-15,0.1487371009393294,0.046292821560688764,180
15,f_hv20,2026-04-15,2026-05-15,-0.5491301171846867,1.4434627187678177e-15,180
15,f_hv20_pct_5,2026-04-15,2026-05-15,0.017642519830858978,0.8141555531521139,180
16,f_stock_abs,2026-05-18,2026-06-12,-0.4621757094893566,6.528265791597034e-11,180
16,f_stock_pct_5,2026-05-18,2026-06-12,-0.32092072895345947,1.1213078935537866e-05,180
16,f_stock_pct_20,2026-05-18,2026-06-12,-0.7431484510838813,6.975637474984381e-33,180
16,f_basis_abs,2026-05-18,2026-06-12,0.009395390373816913,0.9003834436648097,180
16,f_basis_pct_5,2026-05-18,2026-06-12,-0.06792596479315205,0.3649250187275663,180
16,f_basis_pct_20,2026-05-18,2026-06-12,0.018451186765023612,0.8058022422934326,180
16,f_spread_1_3,2026-05-18,2026-06-12,0.16314957354087173,0.028646634273908463,180
16,f_spread_1_3_pct_5,2026-05-18,2026-06-12,-0.20352956624790236,0.006137276507275611,180
16,f_volume_pct_5,2026-05-18,2026-06-12,-0.05953064394991615,0.4272958556313852,180
16,f_oi_pct_5,2026-05-18,2026-06-12,-0.041869605028961795,0.5767958899583514,180
16,f_oi_pct_20,2026-05-18,2026-06-12,-0.05716637344774015,0.445912151963984,180
16,f_hv20,2026-05-18,2026-06-12,-0.5191003837567003,8.29077555337541e-14,180
16,f_hv20_pct_5,2026-05-18,2026-06-12,-0.09616140415856456,0.1990962764524873,180
17,f_stock_abs,2026-06-15,2026-07-13,-0.6869636207354406,1.8066488995654474e-26,180
17,f_stock_pct_5,2026-06-15,2026-07-13,-0.1961183947225692,0.008326208166430841,180
17,f_stock_pct_20,2026-06-15,2026-07-13,-0.6960832124448286,2.074401440344325e-27,180
17,f_basis_abs,2026-06-15,2026-07-13,0.05826641144562819,0.4371940323387121,180
17,f_basis_pct_5,2026-06-15,2026-07-13,-0.054215665092543996,0.46977580743797637,180
17,f_basis_pct_20,2026-06-15,2026-07-13,0.11354465672808832,0.12909989754101173,180
17,f_spread_1_3,2026-06-15,2026-07-13,0.5221946225484435,5.562380270345428e-14,180
17,f_spread_1_3_pct_5,2026-06-15,2026-07-13,-0.23398272533394998,0.0015704543808307545,180
17,f_volume_pct_5,2026-06-15,2026-07-13,-0.01434817947055979,0.8483925912183314,180
17,f_oi_pct_5,2026-06-15,2026-07-13,0.014595100671831434,0.8458157150914202,180
17,f_oi_pct_20,2026-06-15,2026-07-13,-0.00478615595131537,0.9491565279228896,180
17,f_hv20,2026-06-15,2026-07-13,-0.4006769756268198,2.4969767059140227e-08,180
17,f_hv20_pct_5,2026-06-15,2026-07-13,-0.008506435383808141,0.909766737022265,180
