window,factor,quintile,mean_fwd_ret,n
6,f_oi_pct_20,2,0.019582785673578008,4
6,f_oi_pct_20,3,0.026053833583516907,4
6,f_oi_pct_20,4,0.19288032709061886,4
6,f_oi_pct_20,5,0.11681911638962063,4
6,f_hv20,1,0.22915798646183824,4
6,f_hv20,2,0.07938600979222749,4
6,f_hv20,3,0.024176804760624743,4
6,f_hv20,4,0.05402692948389243,4
6,f_hv20,5,0.07062536764538918,4
6,f_hv20_pct_5,1,0.01992336133251492,4
6,f_hv20_pct_5,2,0.0003978141357194598,4
6,f_hv20_pct_5,3,0.20867068885677315,4
6,f_hv20_pct_5,4,0.16634087848617185,4
6,f_hv20_pct_5,5,0.062040355332792674,4
7,f_stock_abs,1,-0.19342087255408297,4
7,f_stock_abs,2,-0.116683778735692,4
7,f_stock_abs,3,-0.07026190516799061,4
7,f_stock_abs,4,-0.014171507128344404,4
7,f_stock_abs,5,-0.01613325415532278,4
7,f_stock_pct_5,1,-0.09140287801432762,4
7,f_stock_pct_5,2,-0.08193151881746766,4
7,f_stock_pct_5,3,-0.034374689328852036,4
7,f_stock_pct_5,4,-0.06588416571774826,4
7,f_stock_pct_5,5,-0.1370780658630372,4
7,f_stock_pct_20,1,-0.060081673840346565,4
7,f_stock_pct_20,2,-0.08736438332898766,4
7,f_stock_pct_20,3,-0.06514125017900955,4
7,f_stock_pct_20,4,-0.11347664878917922,4
7,f_stock_pct_20,5,-0.08460736160390976,4
7,f_basis_abs,1,-0.19342087255408297,4
7,f_basis_abs,2,-0.061063808789725324,4
7,f_basis_abs,3,-0.05945118965977884,4
7,f_basis_abs,4,-0.062273658512553676,4
7,f_basis_abs,5,-0.03446178822529194,4
7,f_basis_pct_5,1,-0.10394263351542649,4
7,f_basis_pct_5,2,-0.06523932342230945,4
7,f_basis_pct_5,3,-0.07870277611532875,4
7,f_basis_pct_5,4,-0.11707295898538661,4
7,f_basis_pct_5,5,-0.04571362570298145,4
7,f_basis_pct_20,1,-0.050325995168966284,4
7,f_basis_pct_20,2,-0.07221172464267095,4
7,f_basis_pct_20,3,-0.08325134247007333,4
7,f_basis_pct_20,4,-0.12036864544785025,4
7,f_basis_pct_20,5,-0.08451361001187195,4
7,f_spread_1_3,1,-0.03756048308764596,4
7,f_spread_1_3,2,-0.0346940051253134,4
7,f_spread_1_3,3,-0.04537371663350708,4
7,f_spread_1_3,4,-0.10070246666204072,4
7,f_spread_1_3,5,-0.19234064623292557,4
7,f_spread_1_3_pct_5,1,-0.05008754159897523,4
7,f_spread_1_3_pct_5,2,-0.0565288253166555,4
7,f_spread_1_3_pct_5,3,-0.014240580632974615,4
7,f_spread_1_3_pct_5,4,-0.14086438618220243,4
7,f_spread_1_3_pct_5,5,-0.14894998401062498,4
7,f_volume_pct_5,1,-0.07361043597196693,4
7,f_volume_pct_5,2,-0.07858228585774571,4
7,f_volume_pct_5,3,-0.07186085927885348,4
7,f_volume_pct_5,4,-0.07508314469194934,4
7,f_volume_pct_5,5,-0.1115345919409173,4
7,f_oi_pct_5,1,-0.07026190516799061,4
7,f_oi_pct_5,2,-0.03114465158403255,4
7,f_oi_pct_5,3,-0.054780079645601304,4
7,f_oi_pct_5,4,-0.061063808789725324,4
7,f_oi_pct_5,5,-0.19342087255408297,4
7,f_oi_pct_20,1,-0.06751227786306271,4
7,f_oi_pct_20,2,-0.16437731833521416,4
7,f_oi_pct_20,3,-0.1115345919409173,4
7,f_oi_pct_20,4,-0.0345744468115318,4
7,f_oi_pct_20,5,-0.03267268279070677,4
7,f_hv20,1,-0.011243365564847747,4
7,f_hv20,2,-0.051004524241862095,4
7,f_hv20,3,-0.1236361130023569,4
7,f_hv20,4,-0.11234448243490072,4
7,f_hv20,5,-0.11244283249746526,4
7,f_hv20_pct_5,1,-0.002166215966363279,4
7,f_hv20_pct_5,2,-0.04174983238919125,4
7,f_hv20_pct_5,3,-0.056650618096103264,4
7,f_hv20_pct_5,4,-0.11816501500525498,4
7,f_hv20_pct_5,5,-0.19193963628452,4
8,f_stock_abs,1,0.1484783542250973,4
8,f_stock_abs,2,0.07218266778483662,4
8,f_stock_abs,3,0.08296534041768874,4
8,f_stock_abs,4,0.11131159375403035,4
8,f_stock_abs,5,0.0902531018432346,4
8,f_stock_pct_5,1,0.16005264584610623,4
8,f_stock_pct_5,2,0.10669087752040275,4
8,f_stock_pct_5,3,0.08959520327124644,4
8,f_stock_pct_5,4,0.06344957842623763,4
8,f_stock_pct_5,5,0.08540275296089456,4
8,f_stock_pct_20,1,0.16439182290891255,4
8,f_stock_pct_20,2,0.0897116377704527,4
8,f_stock_pct_20,3,0.1115640224600635,4
8,f_stock_pct_20,4,0.08092434534156127,4
8,f_stock_pct_20,5,0.0585992295438976,4
8,f_basis_abs,1,0.07434557717060278,4
8,f_basis_abs,2,0.10528365860477734,4
8,f_basis_abs,3,0.11525219557991936,4
8,f_basis_abs,4,0.12910285908031824,4
8,f_basis_abs,5,0.0812067675892699,4
8,f_basis_pct_5,1,0.12143762406079714,4
8,f_basis_pct_5,2,0.1101797003839625,4
8,f_basis_pct_5,3,0.10198368215073242,4
8,f_basis_pct_5,4,0.10707165004406852,4
8,f_basis_pct_5,5,0.06451840138532705,4
8,f_basis_pct_20,1,0.09113337630321242,4
8,f_basis_pct_20,2,0.08301643510028794,4
8,f_basis_pct_20,3,0.10679043344261926,4
8,f_basis_pct_20,4,0.0823150601838597,4
8,f_basis_pct_20,5,0.14193575299490832,4
8,f_spread_1_3,1,0.1336965377355847,4
8,f_spread_1_3,2,0.13032713889152564,4
8,f_spread_1_3,3,0.08579375564064451,4
8,f_spread_1_3,4,0.07873197332539854,4
8,f_spread_1_3,5,0.07664165243173424,4
8,f_spread_1_3_pct_5,1,0.09274320906721298,4
8,f_spread_1_3_pct_5,2,0.14482166419592188,4
8,f_spread_1_3_pct_5,3,0.0908695024019969,4
8,f_spread_1_3_pct_5,4,0.08912782009310527,4
8,f_spread_1_3_pct_5,5,0.08762886226665059,4
8,f_volume_pct_5,1,0.1232682092065977,4
8,f_volume_pct_5,2,0.09529409728617169,4
8,f_volume_pct_5,3,0.09229176028458407,4
8,f_volume_pct_5,4,0.11203370341469138,4
8,f_volume_pct_5,5,0.08230328783284278,4
8,f_oi_pct_5,1,0.13263488480846472,4
8,f_oi_pct_5,2,0.07942908268997037,4
8,f_oi_pct_5,3,0.10194552572099068,4
8,f_oi_pct_5,4,0.09636641251421879,4
8,f_oi_pct_5,5,0.09481515229124307,4
8,f_oi_pct_20,1,0.16439182290891255,4
8,f_oi_pct_20,2,0.09629040594141121,4
8,f_oi_pct_20,3,0.08028562648500603,4
8,f_oi_pct_20,4,0.09123130311851256,4
8,f_oi_pct_20,5,0.07299189957104528,4
8,f_hv20,1,0.16439182290891255,4
8,f_hv20,2,0.0897116377704527,4
8,f_hv20,3,0.1115640224600635,4
8,f_hv20,4,0.08092434534156127,4
8,f_hv20,5,0.0585992295438976,4
8,f_hv20_pct_5,1,0.08820486293261079,4
8,f_hv20_pct_5,2,0.10753147750566736,4
