date,close,exp412_equity,exp412_pos,dd_control,vol_control,signal_state,regime
2024-11-28,78500.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-11-29,78550.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-02,78300.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-03,78000.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-04,76300.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-05,76500.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-06,76650.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-09,76800.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-10,76600.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-11,76650.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-12,77050.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-13,75800.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-16,76000.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-17,75200.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-18,74360.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-19,73920.0,1.3948896428926547,0.0,1.0,1.0,flat,range
2024-12-20,77880.0,1.4654312048332263,1.0,1.0,1.0,ham_only,range
2024-12-23,77180.0,1.4522596351955368,1.0,1.0,1.0,ham_only,range
2024-12-24,78200.0,1.44790285628995,0.0,1.0,1.0,flat,range
2024-12-25,77500.0,1.44790285628995,0.0,1.0,1.0,flat,range
2024-12-26,77520.0,1.44790285628995,0.0,1.0,1.0,flat,range
2024-12-27,76500.0,1.44790285628995,0.0,1.0,1.0,flat,range
2024-12-30,78320.0,1.465964734665865,0.6,1.0,1.0,ham_only,range
2024-12-31,77100.0,1.4522634299445243,0.6,1.0,1.0,ham_only,range
2025-01-02,77800.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-03,76380.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-06,77660.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-07,78820.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-08,77180.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-09,78240.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-10,77920.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-13,78760.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-14,79100.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-15,80260.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-16,79860.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-17,80740.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-20,80720.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-21,78520.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-22,79200.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-23,79580.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-24,79580.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-01-27,79620.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-05,78120.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-06,77500.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-07,77800.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-10,78600.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-11,77300.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-12,77500.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-13,77300.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-14,76780.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-17,77160.0,1.449649355770624,0.0,1.0,1.0,flat,range
2025-02-18,77060.0,1.449649355770624,0.0,1.0,1.0,flat,range
