date,close,regime,ctrl1_ham_fixed20,exp1_ham_dynamic,ctrl2_fund_fixed20,exp2_fund_dynamic,exp_T1_ham_fund_combined
2025-05-21,61100.0,downtrend,1.3447434116265884,1.3598783850612002,0.9764169765077462,1.1557386750825618,1.549554796321696
2025-05-22,62140.0,range,1.36763266118619,1.3598783850612002,0.9597971130778271,1.1557386750825618,1.549554796321696
2025-05-23,60960.0,range,1.3416621664935653,1.3598783850612002,0.9780230640503381,1.1557386750825618,1.549554796321696
2025-05-26,60100.0,downtrend,1.3227345178192793,1.3598783850612002,0.9918206335234891,1.1557386750825618,1.549554796321696
2025-05-27,60920.0,range,1.3407818107412726,1.3598783850612002,0.9782883054121869,1.1557386750825618,1.549554796321696
2025-05-28,60380.0,range,1.3288970080853257,1.3598783850612002,0.9869599351712576,1.1557386750825618,1.549554796321696
2025-05-29,58860.0,downtrend,1.2954434894982159,1.3598783850612002,1.011805564542909,1.123177010794222,1.505897796550005
2025-05-30,59800.0,range,1.3161318496770866,1.3598783850612002,1.00877014784928,1.1411142583332397,1.5299471327504301
2025-06-03,59940.0,range,1.31921309481011,1.3598783850612002,1.0081055066481888,1.1437857632858592,1.5335289487802808
2025-06-04,61080.0,range,1.3443032337504421,1.3598783850612002,1.0272786844523083,1.1655394464714761,1.5626951650233492
2025-06-05,60100.0,range,1.322734517819279,1.3598783850612002,1.0107964789715738,1.1468389118031388,1.5376224528143956
2025-06-06,60440.0,range,1.3302175417137643,1.3598783850612002,1.0165147951587674,1.1533268524023579,1.5463211488868898
2025-06-09,60700.0,range,1.3359398541036647,1.3598783850612002,1.0208876251842685,1.158288218742937,1.5529730929423264
2025-06-10,60760.0,range,1.3372603877321032,1.3598783850612002,1.0218967398055379,1.1594331494369168,1.5545081569551193
2025-06-11,61740.0,range,1.358829103663266,1.3598783850612002,1.0383789452862724,1.178133684105254,1.579580869164073
2025-06-12,60480.0,range,1.3547526163522763,1.3598783850612002,1.0171875382396138,1.1540901395316774,1.5473445248954183
2025-06-13,59800.0,range,1.3547526163522763,1.3598783850612002,1.0057509058652265,1.1411142583332392,1.5299471327504301
2025-06-16,59780.0,range,1.3547526163522763,1.3598783850612002,1.0054145343248033,1.1407326147685792,1.5294354447461658
2025-06-17,59860.0,range,1.3547526163522763,1.3598783850612002,1.006760020486496,1.1422591890272191,1.5314821967632233
2025-06-18,59880.0,range,1.3547526163522763,1.3598783850612002,1.0070963920269191,1.142640832591879,1.5319938847674877
2025-06-19,60060.0,range,1.3547526163522763,1.3598783850612002,1.0101237358907276,1.1460756246738186,1.5365990768058668
2025-06-20,58900.0,range,1.3547526163522763,1.3598783850612002,0.9906141865461847,1.1239402979235418,1.506921172558534
2025-06-23,59120.0,range,1.3547526163522763,1.3598783850612002,0.9943142734908393,1.1281383771348013,1.512549740605442
2025-06-24,60700.0,range,1.3868945346506585,1.3598783850612002,1.0208876251842682,1.1582882187429369,1.5529730929423262
2025-06-25,60880.0,range,1.3910072367303474,1.3598783850612002,1.0239149690480767,1.1617230108248764,1.5575782849807056
2025-06-26,61500.0,range,1.4051732105603871,1.3598783850612002,1.0343424868011943,1.1689591254682548,1.5672800942167593
2025-06-27,63300.0,range,1.4463002313572766,1.3956000684931735,1.0646159254392782,1.192908531941263,1.6117411546456253
2025-06-30,62260.0,range,1.4225379526746293,1.3726707782683252,1.0471246053372743,1.1791891415581153,1.5852607312517635
2025-07-01,62780.0,range,1.4344190920159527,1.3685527659335202,1.0439832315212625,1.1860832123503922,1.5931021447814884
2025-07-02,63960.0,range,1.4613801389828023,1.3685527659335202,1.0604737764618546,1.2016885760554166,1.6140626795312418
2025-07-03,64080.0,range,1.4641219403692616,1.3685527659335202,1.0624634083126274,1.2032667786881348,1.6161824616619584
2025-07-04,63280.0,range,1.445843264459533,1.3685527659335202,1.0491991959741427,1.1927513386746305,1.602058520049432
2025-07-07,63660.0,range,1.4545256355166543,1.3685527659335202,1.055499696834923,1.1977651164256964,1.6087928368372504
2025-07-08,63880.0,range,1.4595522713918296,1.3685527659335202,1.0591473552280064,1.2006626317874551,1.612684669964378
2025-07-09,64400.0,range,1.471433410733153,1.3685527659335202,1.0677690932480215,1.2075042284995814,1.621874044101307
2025-07-10,64180.0,range,1.4664067748579777,1.3685527659335202,1.0641214348549382,1.204616718387952,1.6179956496480215
2025-07-11,64280.0,range,1.4686916093466937,1.3685527659335202,1.0657794613972487,1.2059305727084124,1.6197603691163194
2025-07-14,66480.0,range,1.5189579680984473,1.3685527659335202,1.1022560453280816,1.234821877655067,1.6585660780217197
2025-07-15,66660.0,range,1.5230706701781362,1.3685527659335202,1.1052404931042408,1.2322287517119914,1.655083089257874
2025-07-16,66420.0,range,1.5175870674052176,1.3685527659335202,1.1012612294026953,1.2322287517119914,1.655083089257874
2025-07-17,67960.0,uptrend,1.552773518531445,1.3961780811307154,1.1267948381542783,1.2322287517119914,1.688492244649196
2025-07-18,69960.0,uptrend,1.5984702083057667,1.4372663118879467,1.1599553690004902,1.2322287517119914,1.7381830111191547
2025-07-21,71280.0,uptrend,1.628630023556819,1.4643845441877192,1.18184131935899,1.2322287517119914,1.7709789169893275
2025-07-22,72880.0,uptrend,1.6237441334861484,1.497255128793504,1.2083697440359593,1.2322287517119914,1.8107315301652942
2025-07-23,69380.0,uptrend,1.6968518317553047,1.5601760018458977,1.1503388150550886,1.2322287517119914,1.8868259823067302
2025-07-24,76680.0,uptrend,1.5183130832425673,1.39601796187076,1.271374752643762,1.2322287517119914,1.6882986016373855
2025-07-25,80520.0,uptrend,1.4422786252398097,1.4575519867753794,1.3350429718684889,1.2322287517119914,1.7627158448513427
2025-07-28,73120.0,uptrend,1.5748278282548938,1.3235991216221528,1.212349007737505,1.2322287517119914,1.6007176176792124
2025-07-29,70840.0,uptrend,1.6239335099893188,1.3196283242572864,1.1745460025728236,1.2322287517119914,1.5959154648261749
2025-07-30,70600.0,range,1.6294352610113043,1.3196283242572864,1.1710223645651052,1.2322287517119914,1.5959154648261749
2025-07-31,68280.0,range,1.6829804423929788,1.3432717273722938,1.205990485655419,1.2322287517119914,1.6245090255877603
2025-08-01,68920.0,range,1.6672055817730094,1.335717299380042,1.1946865326557197,1.2322287517119914,1.615372946709235
2025-08-04,68920.0,range,1.6672055817730094,1.3333130082411577,1.1946865326557197,1.2322287517119914,1.6124652754051583
2025-08-05,67840.0,range,1.6933312641339329,1.3333130082411577,1.2134076797141669,1.2322287517119914,1.6124652754051583
2025-08-06,69620.0,range,1.6489012869794755,1.3519032908876671,1.1815700371744968,1.2322287517119914,1.6349477570446398
2025-08-07,72300.0,uptrend,1.5854273506234715,1.3831279460406025,1.1360858702737837,1.1964370906064257,1.6252206867938008
2025-08-08,76960.0,uptrend,1.4832407468350155,1.4366165454476498,1.062860971857797,1.1424567615668937,1.6147455437779514
2025-08-11,81000.0,uptrend,1.405378316777668,1.4818654865360736,1.0070662950606881,1.1004756321267797,1.6062689689379528
2025-08-12,82520.0,uptrend,1.3790057854010993,1.4985501942363317,0.9881682608817715,1.0860200016010648,1.603254735811057
2025-08-13,85100.0,uptrend,1.3358909656442544,1.5266616302600573,0.9572730341115948,1.0622517984637463,1.598242136176553
2025-08-14,85300.0,uptrend,1.3327513864065474,1.5288143846153006,0.9550232737494054,1.0605042631901278,1.597866521103421
2025-08-15,86900.0,uptrend,1.307752532734209,1.526062518722993,0.9371095898338245,1.0465797054553923,1.5740101678878753
2025-08-18,89240.0,uptrend,1.2725380226467746,1.5479714379072098,0.9118755686576318,1.0268524608347256,1.5669385332532748
2025-08-19,87540.0,uptrend,1.2967795582642054,1.53027835334126,0.9292465734393213,1.0405453611977167,1.5699235125299789
2025-08-20,80980.0,uptrend,1.2928892195894128,1.5275238523052457,0.9988816833520691,1.0951282295849671,1.6494495895441583
2025-08-21,82760.0,range,1.2928892195894128,1.5275238523052457,0.9769255287908604,1.078278022446626,1.6240703083812538
