date,equity_A,equity_B,daily_ret_A
2024-12-20,1.3799456803551498,0.8620973742765327,0.05357142857142857
2024-12-23,1.3799456803551498,0.8571409249249909,0.0
2024-12-24,1.3799456803551498,0.8522129716469874,0.0
2024-12-25,1.3799456803551498,0.8522129716469874,0.0
2024-12-26,1.3799456803551498,0.8522129716469874,0.0
2024-12-27,1.3799456803551498,0.8522129716469874,0.0
2024-12-30,1.3996437284982586,0.8522129716469874,0.01427450980392157
2024-12-31,1.3996437284982586,0.8460192992384641,0.0
2025-01-02,1.3996437284982586,0.8398706409040987,0.0
2025-01-03,1.3996437284982586,0.8398706409040987,0.0
2025-01-06,1.3996437284982586,0.8398706409040987,0.0
2025-01-07,1.3996437284982586,0.8398706409040987,0.0
2025-01-08,1.3996437284982586,0.8398706409040987,0.0
2025-01-09,1.3996437284982586,0.8398706409040987,0.0
2025-01-10,1.3996437284982586,0.8398706409040987,0.0
2025-01-13,1.3996437284982586,0.8398706409040987,0.0
2025-01-14,1.3996437284982586,0.8398706409040987,0.0
2025-01-15,1.3996437284982586,0.8398706409040987,0.0
2025-01-16,1.3996437284982586,0.8398706409040987,0.0
2025-01-17,1.3996437284982586,0.8398706409040987,0.0
2025-01-20,1.3996437284982586,0.8398706409040987,0.0
2025-01-21,1.3996437284982586,0.8398706409040987,0.0
2025-01-22,1.3996437284982586,0.8398706409040987,0.0
2025-01-23,1.3996437284982586,0.8398706409040987,0.0
2025-01-24,1.3996437284982586,0.8398706409040987,0.0
2025-01-27,1.3996437284982586,0.8398706409040987,0.0
2025-02-05,1.3996437284982586,0.8398706409040987,0.0
2025-02-06,1.3996437284982586,0.8398706409040987,0.0
2025-02-07,1.3996437284982586,0.8398706409040987,0.0
2025-02-10,1.3996437284982586,0.8398706409040987,0.0
2025-02-11,1.3996437284982586,0.8398706409040987,0.0
2025-02-12,1.3996437284982586,0.8398706409040987,0.0
2025-02-13,1.3996437284982586,0.8398706409040987,0.0
2025-02-14,1.3996437284982586,0.8398706409040987,0.0
2025-02-17,1.3996437284982586,0.8398706409040987,0.0
2025-02-18,1.3996437284982586,0.8398706409040987,0.0
2025-02-19,1.3996437284982586,0.8398706409040987,0.0
2025-02-20,1.3996437284982586,0.8398706409040987,0.0
2025-02-21,1.3996437284982586,0.8398706409040987,0.0
2025-02-24,1.3996437284982586,0.8398706409040987,0.0
2025-02-25,1.3996437284982586,0.8398706409040987,0.0
2025-02-26,1.3996437284982586,0.8398706409040987,0.0
2025-02-27,1.3996437284982586,0.8398706409040987,0.0
2025-02-28,1.3996437284982586,0.8398706409040987,0.0
2025-03-03,1.3996437284982586,0.8398706409040987,0.0
2025-03-04,1.3996437284982586,0.8398706409040987,0.0
2025-03-05,1.3996437284982586,0.8398706409040987,0.0
2025-03-06,1.3996437284982586,0.8398706409040987,0.0
2025-03-07,1.3996437284982586,0.8398706409040987,0.0
2025-03-10,1.3996437284982586,0.8398706409040987,0.0
2025-03-11,1.3996437284982586,0.8398706409040987,0.0
2025-03-12,1.3996437284982586,0.8398706409040987,0.0
2025-03-13,1.3996437284982586,0.8398706409040987,0.0
2025-03-14,1.3996437284982586,0.8398706409040987,0.0
2025-03-17,1.3996437284982586,0.8398706409040987,0.0
2025-03-18,1.3996437284982586,0.8398706409040987,0.0
2025-03-19,1.3996437284982586,0.8398706409040987,0.0
2025-03-20,1.3996437284982586,0.8398706409040987,0.0
2025-03-21,1.3996437284982586,0.8398706409040987,0.0
2025-03-24,1.3996437284982586,0.8398706409040987,0.0
2025-03-25,1.3996437284982586,0.8398706409040987,0.0
2025-03-26,1.3996437284982586,0.8398706409040987,0.0
2025-03-27,1.3996437284982586,0.8398706409040987,0.0
2025-03-28,1.3996437284982586,0.8398706409040987,0.0
2025-03-31,1.3996437284982586,0.8398706409040987,0.0
2025-04-01,1.3996437284982586,0.8398706409040987,0.0
2025-04-02,1.3996437284982586,0.8398706409040987,0.0
2025-04-03,1.3996437284982586,0.8398706409040987,0.0
2025-04-07,1.3996437284982586,0.8398706409040987,0.0
2025-04-08,1.3996437284982586,0.8398706409040987,0.0
2025-04-09,1.3996437284982586,0.8398706409040987,0.0
2025-04-10,1.3996437284982586,0.8398706409040987,0.0
2025-04-11,1.3996437284982586,0.8398706409040987,0.0
2025-04-14,1.3996437284982586,0.8398706409040987,0.0
2025-04-15,1.3996437284982586,0.8398706409040987,0.0
2025-04-16,1.3996437284982586,0.8398706409040987,0.0
2025-04-17,1.3996437284982586,0.8398706409040987,0.0
2025-04-18,1.3996437284982586,0.8398706409040987,0.0
2025-04-21,1.3996437284982586,0.8398706409040987,0.0
2025-04-22,1.3996437284982586,0.8398706409040987,0.0
2025-04-23,1.3996437284982586,0.8398706409040987,0.0
2025-04-24,1.3996437284982586,0.8398706409040987,0.0
2025-04-25,1.3996437284982586,0.8398706409040987,0.0
2025-04-28,1.3996437284982586,0.8398706409040987,0.0
2025-04-29,1.3996437284982586,0.8398706409040987,0.0
2025-04-30,1.3996437284982586,0.8398706409040987,0.0
2025-05-06,1.3996437284982586,0.8398706409040987,0.0
