datetime,open,high,low,close,volume,hold
2026-09-09 10:53:00,141760.0,141960.0,141620.0,141840.0,305,403656
2026-09-09 10:54:00,141880.0,141980.0,141780.0,141880.0,272,403758
2026-09-09 10:55:00,141880.0,141900.0,141860.0,141900.0,197,403776
2026-09-09 10:56:00,141860.0,141900.0,141820.0,141860.0,215,403792
2026-09-09 10:57:00,141860.0,141900.0,141820.0,141880.0,91,403773
2026-09-09 10:58:00,141880.0,141900.0,141840.0,141840.0,148,403838
2026-09-09 10:59:00,141840.0,141840.0,141520.0,141600.0,368,403948
2026-09-09 11:00:00,141520.0,141600.0,141520.0,141540.0,155,403988
2026-09-09 11:01:00,141580.0,141600.0,141500.0,141540.0,300,404127
2026-09-09 11:02:00,141580.0,141720.0,141580.0,141620.0,384,404343
2026-09-09 11:03:00,141580.0,141660.0,141300.0,141340.0,528,404422
2026-09-09 11:04:00,141320.0,141360.0,140940.0,141240.0,2680,404542
2026-09-09 11:05:00,141300.0,141900.0,141300.0,141860.0,462,404560
2026-09-09 11:06:00,141900.0,142140.0,141820.0,141880.0,1016,404565
2026-09-09 11:07:00,141820.0,142260.0,141780.0,142120.0,916,404428
2026-09-09 11:08:00,142100.0,142100.0,141820.0,141880.0,254,404476
2026-09-09 11:09:00,141880.0,141880.0,141520.0,141700.0,247,404481
2026-09-09 11:10:00,141700.0,141760.0,141460.0,141580.0,241,404541
2026-09-09 11:11:00,141580.0,141660.0,141500.0,141560.0,199,404658
2026-09-09 11:12:00,141560.0,141560.0,141380.0,141500.0,250,404725
2026-09-09 11:13:00,141520.0,141700.0,141520.0,141600.0,128,404761
2026-09-09 11:14:00,141600.0,141600.0,141420.0,141540.0,168,404858
2026-09-09 11:15:00,141540.0,141580.0,141400.0,141400.0,131,404920
2026-09-09 11:16:00,141400.0,141440.0,141040.0,141100.0,907,405087
2026-09-09 11:17:00,141180.0,141380.0,141120.0,141280.0,388,405245
2026-09-09 11:18:00,141280.0,141480.0,141280.0,141480.0,215,405231
2026-09-09 11:19:00,141480.0,141500.0,141320.0,141440.0,205,405261
2026-09-09 11:20:00,141460.0,141560.0,141180.0,141240.0,347,405279
2026-09-09 11:21:00,141260.0,141280.0,141160.0,141200.0,219,405315
2026-09-09 11:22:00,141240.0,141240.0,141080.0,141120.0,588,405515
2026-09-09 11:23:00,141100.0,141600.0,141080.0,141400.0,616,405648
