date,dir_disagreement,disagreement_vol,disagreement_decay,ham_dev_mean,ham_n_f_minus_n_c,fwd20_ret
2024-04-25,1.0,680.9387869544129,0.011157177540710462,,-1.0,-0.041970802919708
2024-04-26,-1.0,673.638978744706,-0.9413072929363597,,-1.0,-0.0427661510464058
2024-04-29,-1.0,827.9611928358148,-0.2047172271277716,,-1.0,-0.08541846419327
2024-04-30,1.0,881.9796811121766,-0.05606702694078962,,-1.0,-0.0592193808882907
2024-05-06,-1.0,771.4263958476702,0.08825456102004961,,-1.0,-0.0862989323843416
2024-05-07,-1.0,771.5500461306516,0.0032269260527119535,,-1.0,-0.1057945566286215
2024-05-08,1.0,765.7759652452984,-0.04191645944927613,,-1.0,-0.109326193663543
2024-05-09,1.0,779.8827509716815,0.07902251855115175,0.393177711056793,-1.0,-0.0944494180841539
2024-05-10,1.0,794.6614638355525,-0.08198716297247596,0.3966705777375155,-1.0,-0.076603599446239
2024-05-13,1.0,796.4921035720515,0.01823215565495111,0.3937116572254035,-1.0,-0.0943043884220354
2024-05-14,1.0,771.6566252993756,0.02482184429706107,0.3974581201569258,-1.0,-0.0623809523809524
2024-05-15,1.0,755.9152695486724,-0.09485599896096064,0.3976851500714558,-1.0,-0.0504854368932038
2024-05-16,-1.0,746.09840433241,-0.039925384688666264,0.3986121096004246,-1.0,-0.0682692307692307
2024-05-17,-1.0,719.3290001983208,0.019242291032232982,0.4076300205622777,-1.0,-0.1000469704086425
2024-05-20,1.0,731.3739773445882,0.051082562234376884,0.4054192334458302,-1.0,-0.1245283018867924
2024-05-21,-1.0,735.692477229876,0.017833747154079548,0.4056484001124969,-1.0,-0.1190253045923148
2024-05-22,1.0,743.767967496372,0.042364892828884025,0.3948218826781448,-1.0,-0.1127819548872181
2024-05-23,1.0,754.9355148480878,0.06118877129875291,0.3883948674276001,-1.0,-0.1342439943476212
2024-05-24,-1.0,746.1248572669182,-0.044119458912222444,0.3851288400684165,-1.0,-0.1770446096654274
2024-05-27,1.0,745.287828539029,-0.005666434256778685,0.3836279019821126,-1.0,-0.1501883239171374
2024-05-28,1.0,740.6478316489665,-0.020273255363741492,0.3744792728334834,-1.0,-0.1185714285714285
2024-05-29,-1.0,743.1529558505932,0.020273255238741662,0.3689704450695977,-1.0,-0.1007604562737642
2024-05-30,-1.0,544.4093854328454,0.10074515091877993,0.3593700197520085,-1.0,-0.1084905660377358
2024-05-31,1.0,409.43639053549794,0.06765710762566493,0.359711730510386,-1.0,-0.0877443967572723
2024-06-03,1.0,420.2834256721728,-0.04083805676760448,0.3630385495393928,-1.0,-0.0842259006815968
2024-06-04,1.0,422.3894280724464,0.028399201829316635,0.3530652875073072,-1.0,-0.071674030436917
2024-06-05,1.0,426.6203630987699,-0.005132707697730577,0.3518377441745007,-1.0,-0.0586172344689378
2024-06-06,-1.0,412.58770997334926,-0.06749633563581055,0.3603648759574464,-1.0,-0.0716757291151755
2024-06-07,1.0,336.83902136746184,0.05568250824057423,0.3593690875965754,-1.0,-0.0639680159920039
2024-06-11,1.0,394.7850847713154,-0.044599901918042376,0.3591472686814716,-1.0,-0.029381443298969
2024-06-12,-1.0,383.9951856880225,0.018518689393498343,0.3569899187849913,-1.0,-0.0675469781615033
2024-06-13,1.0,379.7506106852093,0.05619650472877387,0.3559351904673319,-1.0,-0.0541922290388547
2024-06-14,1.0,380.60720185680026,0.005268025771780249,0.3447202597608758,-1.0,-0.0572755417956656
2024-06-17,1.0,350.7956182586573,0.04003889218752284,0.3380643846894609,-1.0,-0.0819415448851774
2024-06-18,1.0,398.59126934743557,-0.0948559990554051,0.3397176717025901,-1.0,-0.0431034482758621
2024-06-19,-1.0,393.3158634241093,-0.026949824977110494,0.3409213754062938,-1.0,-0.076063829787234
2024-06-20,-1.0,390.18382981952436,-0.014384103539255632,0.3358119477968662,-1.0,-0.0683262711864406
2024-06-21,1.0,392.73626814414456,-0.1151292542897022,0.3431146193208492,-1.0,-0.0228509249183895
2024-06-24,1.0,449.4349522631606,-0.04186983943110978,0.345639461235935,-1.0,0.0045172219085263
2024-06-25,-1.0,449.8738858367917,-0.009707800709442771,0.3425002736612636,-1.0,-0.0260387811634349
