date,ham_dev_mean,ham_dev_median,ham_D_f_minus_D_c,ham_n_f_minus_n_c,dir_disagreement,disagreement_vol,disagreement_decay,adaptive_disagree_v1,multiagent_3,basis_rate,basis_rate_chg5,pos_chg_20d_pct,vol_chg_20d_pct,rvol20,vol_rel,basis_turn,momentum_20d,bias_rate,position_pct_chg
2024-11-06,0.460462962962963,0.4777777777777778,725.0,-1.0,1.0,380.13155617496415,-0.08789289554658411,898.8620319214242,724.375,-1.25,-1.25,7.41022158481104,80.30033780906692,2.1258585413317515,1.3499243576135689,-1.0,-0.654450261780104,2.425694139873813,-3.850601098471318
2024-11-07,0.4666666666666667,0.4777777777777778,-475.0,-1.0,-1.0,345.9611896395925,0.052227253301665645,-564.471647137393,-476.235,-2.47,-0.9300000000000002,9.537680397478344,-10.787031127482273,1.972256576587925,0.8360540456942964,-1.0,4.274084124830391,3.487745758147054,2.2504399190018454
2024-11-08,0.4668518518518519,0.4777777777777778,225.0,-1.0,1.0,337.06355796090315,-0.040546510533038635,286.975319762205,224.345,-1.31,2.15,15.50125351134201,62.42503055996256,1.9805559646516864,1.3006841156742197,-1.0,3.382949932341006,2.70887947838947,-0.7930193541691888
2024-11-11,0.4747222222222222,0.4833333333333334,-2275.0,-1.0,-1.0,494.4610968678825,-0.0869135391108314,-2362.0218579234975,-2278.365,-6.73,-3.3000000000000003,37.01116409874047,116.05556174145416,2.3366896242849164,1.5492670424604378,-1.0,10.738714090287282,8.254488315335484,19.336715569619155
2024-11-12,0.4745370370370371,0.4833333333333334,-100.0,-1.0,-1.0,497.61767981368774,0.020273255238741662,-107.60869565217392,-102.74,-5.48,-2.3800000000000003,52.94168004280364,309.312292358804,2.3374409544288244,1.8312483324823885,-1.0,10.558583106267028,7.962482538415494,4.40067348675488
2024-11-13,0.4836111111111111,0.4916666666666667,-2675.0,-1.0,-1.0,658.8104810945254,-0.04330831720882637,-2732.837837837838,-2679.8,-9.6,-8.35,71.13896544413822,398.7001492615677,2.5443009627032493,2.248573720059704,-1.0,21.574139142656357,13.916965726138342,12.963882902801483
2024-11-14,0.4912037037037037,0.4916666666666667,2750.0,-1.0,1.0,785.5856012186738,-0.03843273663237057,3518.896268184693,2748.735,-2.53,-0.0599999999999996,61.61296894875085,484.536822460573,2.8636516062135646,2.5823006834469693,-1.0,18.075801749271147,5.809738414813359,-9.10825165296295
2024-11-15,0.4911111111111111,0.4916666666666667,1350.0,-1.0,1.0,792.293265414425,-0.013770598981254812,2209.206109910115,1350.255,0.51,1.82,71.75351324462132,185.69168138069068,2.96498099764941,1.563057231175664,1.0,10.828025477707005,1.7742249951257616,-5.88768424567453
2024-11-18,0.5015740740740741,0.4972222222222222,-1325.0,-1.0,-1.0,798.357689259645,-0.019338648736980813,-1621.1225092874029,-1326.545,-3.09,3.640000000000001,42.64608156768202,99.51527185656718,3.000238969017913,1.141700360885659,-1.0,11.732229123533466,4.6406411582212925,0.2505303858602481
2024-11-19,0.5070370370370371,0.5305555555555556,-850.0,-1.0,-1.0,796.2122501999206,-0.013413199311634361,-930.9997215260373,-852.36,-4.72,0.7600000000000007,37.86806533099366,123.76049971167376,3.00742074795215,1.4819926916336243,-1.0,12.067796610169502,6.227106227106227,3.2798133662687023
2024-11-20,0.5032407407407408,0.5305555555555556,-25.0,-1.0,-1.0,820.3767988584655,0.17005986714977456,-27.239597685312756,-27.205,-4.41,5.19,31.34572017542646,85.36839702965082,2.99071429980771,1.365721681019553,-1.0,9.900332225913623,5.784912538773934,-0.41050673454829933
2024-11-21,0.4958333333333333,0.4972222222222222,375.0,-1.0,1.0,824.48049831713,0.016823611792965452,453.5851603403142,373.445,-3.11,-0.5800000000000001,25.26589991346986,76.62784531204395,2.976248379426447,1.085253949762716,-1.0,10.444743935309964,4.30853433462739,-2.409993890749751
2024-11-22,0.4947222222222222,0.4972222222222222,1225.0,-1.0,1.0,814.4218162210797,-0.0794617600966453,1831.4173143350604,1224.75,-0.5,-1.01,15.947292553168465,63.904298859128026,3.0785461605737274,0.971561077240746,-1.0,6.425702811244971,0.8819237358035581,-3.63338729987408
2024-11-25,0.4896296296296296,0.4916666666666667,-425.0,-1.0,-1.0,821.9150855743778,0.040218640718493084,-572.6523689973825,-425.78,-1.56,1.5299999999999998,15.035758355779056,0.5983530545169646,3.0408476510649125,0.7605872236697058,-1.0,4.895561357702349,1.7185175807829856,-2.8948930562140873
2024-11-26,0.487962962962963,0.4916666666666667,850.0,-1.0,1.0,821.9150855743778,6.661338147750939e-17,1336.5873645255087,850.16,0.32,5.04,13.59144719872633,44.38730661040788,3.036446668842038,0.8038297836417911,1.0,5.006675567423224,-0.6693609497347763,-1.796637408351498
2024-11-27,0.4802777777777777,0.4916666666666667,75.0,-1.0,1.0,838.6029657773255,0.09729550688133715,114.83320251177395,75.065,0.13,4.54,10.228718630991978,-7.515857763847366,3.012953708386452,0.5180389708662542,1.0,6.296547054840884,-1.1490634345978301,-3.3379792032072197
2024-11-28,0.4697222222222222,0.4805555555555556,0.0,-1.0,0.0,857.5698145586196,1.0015059329193234,0.0,-0.19,-0.38,2.73,3.0824409358367264,19.237342941611235,3.0043747330465846,0.7548962240078689,-1.0,4.876419505678031,-1.3757145549343597,-1.8679778694035587
2024-11-29,0.4703703703703704,0.4805555555555556,-25.0,-1.0,-1.0,877.1693034084726,0.1748253761339303,-36.30531200328154,-25.225,-0.45,0.0499999999999999,3.404100032199206,-30.955149174319164,2.9701832098802674,0.6937467994957899,-1.0,2.6797385620914937,-1.439819316791613,-0.5910370388714115
2024-12-02,0.4626851851851852,0.4527777777777778,125.0,-1.0,1.0,885.4182404526777,0.054930614166738945,188.19158925942847,125.065,0.13,1.69,1.580769426578648,-22.799631948798535,2.965818285963799,0.4725824753843044,1.0,1.3592233009708687,-1.8181818181818188,-0.5895687844088116
2024-12-03,0.4518518518518518,0.425,150.0,-1.0,1.0,881.2548992025071,-0.05493061376673871,216.85175879396985,150.16,0.32,0.0,-2.176962709789318,-33.7075052217481,2.9678469024341214,0.5225961413405681,1.0,0.8403361344537785,-2.2341992291542656,-3.892095525280448
