date,pos_percentile,basis_percentile,alpha_v1,beta_v1,disagree_v1,disagree_fixed
2025-05-27,0.955,0.4318181818181818,0.3065909090909091,0.6934090909090909,-568.5954545454545,-820.0
2025-05-28,0.915,0.5227272727272727,0.28113636363636363,0.7188636363636364,388.18636363636364,540.0
2025-05-29,0.935,0.6287878787878788,0.21810606060606058,0.7818939393939395,1188.478787878788,1520.0
2025-05-30,0.83,0.48484848484848486,0.3425757575757576,0.6574242424242425,-617.9787878787879,-940.0
2025-06-03,0.82,0.42424242424242425,0.37787878787878787,0.6221212121212121,-87.0969696969697,-140.0
2025-06-04,0.665,0.15151515151515152,0.5917424242424243,0.40825757575757576,-465.4136363636364,-1140.0
2025-06-05,0.505,0.21212121212121213,0.6414393939393939,0.3585606060606061,351.389393939394,980.0
2025-06-06,0.325,0.1590909090909091,0.7579545454545455,0.24204545454545456,-82.29545454545455,-340.0
2025-06-09,0.29,0.18181818181818182,0.764090909090909,0.2359090909090909,-61.336363636363636,-260.0
2025-06-10,0.185,0.2727272727272727,0.7711363636363636,0.22886363636363635,-13.73181818181818,-60.0
2025-06-11,0.295,0.23484848484848486,0.7350757575757576,0.2649242424242424,-259.6257575757576,-980.0
2025-06-12,0.595,0.5454545454545454,0.4297727272727273,0.5702272727272727,718.4863636363636,1260.0
2025-06-13,0.845,0.6893939393939394,0.2328030303030303,0.7671969696969697,521.6939393939394,680.0
2025-06-16,0.96,0.7575757575757576,0.14121212121212123,0.8587878787878788,17.175757575757576,20.0
2025-06-17,0.96,0.7537878787878788,0.14310606060606063,0.8568939393939394,-68.55151515151516,-80.0
2025-06-18,0.955,0.7803030303030303,0.13234848484848488,0.8676515151515152,-17.3530303030303,-20.0
2025-06-19,0.955,0.7651515151515151,0.13992424242424245,0.8600757575757576,-154.81363636363636,-180.0
2025-06-20,1.0,0.9166666666666666,0.1,0.9583333333333333,1111.6666666666665,1160.0
2025-06-23,1.0,0.9090909090909091,0.1,0.9545454545454546,-210.0,-220.0
2025-06-24,0.99,0.4318181818181818,0.28909090909090907,0.7109090909090909,-1123.2363636363636,-1580.0
2025-06-25,0.99,0.42045454545454547,0.2947727272727273,0.7052272727272727,-126.94090909090909,-180.0
2025-06-26,0.985,0.32575757575757575,0.34462121212121216,0.6553787878787879,-406.3348484848485,-620.0
2025-06-27,0.975,0.07196969696969698,0.4765151515151515,0.5234848484848484,-942.2727272727273,-1800.0
2025-06-30,0.96,0.3106060606060606,0.36469696969696974,0.6353030303030303,660.7151515151514,1040.0
2025-07-01,0.945,0.3409090909090909,0.3570454545454546,0.6429545454545454,-334.3363636363636,-520.0
2025-07-02,0.935,0.07575757575757576,0.4946212121212121,0.5053787878787879,-596.3469696969697,-1180.0
2025-07-03,0.96,0.19696969696969696,0.4215151515151515,0.5784848484848485,-69.41818181818182,-120.0
2025-07-04,0.925,0.4621212121212121,0.3064393939393939,0.6935606060606061,554.8484848484849,800.0
2025-07-07,0.915,0.3560606060606061,0.36446969696969694,0.635530303030303,-241.50151515151515,-380.0
2025-07-08,0.965,0.5151515151515151,0.25992424242424245,0.7400757575757575,-162.81666666666666,-220.0
2025-07-09,0.935,0.4810606060606061,0.29196969696969693,0.708030303030303,-368.1757575757576,-520.0
2025-07-10,0.91,0.5075757575757576,0.2912121212121212,0.7087878787878787,155.93333333333334,220.0
2025-07-11,0.9,0.6439393939393939,0.22803030303030303,0.771969696969697,-77.1969696969697,-100.0
2025-07-14,0.995,0.24242424242424243,0.3812878787878788,0.6187121212121212,-1361.1666666666665,-2200.0
2025-07-15,0.97,0.3106060606060606,0.35969696969696974,0.6403030303030303,-115.25454545454545,-180.0
2025-07-16,0.96,0.4090909090909091,0.31545454545454543,0.6845454545454546,164.2909090909091,240.0
2025-07-17,1.0,0.11363636363636363,0.4431818181818182,0.5568181818181818,-857.4999999999999,-1540.0
2025-07-18,1.0,0.32954545454545453,0.3352272727272727,0.6647727272727273,-1329.5454545454545,-2000.0
2025-07-21,1.0,0.2840909090909091,0.3579545454545454,0.6420454545454546,-847.5,-1320.0
2025-07-22,1.0,0.32575757575757575,0.33712121212121215,0.6628787878787878,-1060.6060606060605,-1600.0
2025-07-23,0.98,0.9545454545454546,0.1,0.9672727272727273,3385.4545454545455,3500.0
2025-07-24,1.0,0.16666666666666666,0.4166666666666667,0.5833333333333334,-4258.333333333334,-7300.0
2025-07-25,1.0,0.09398496240601503,0.45300751879699247,0.5469924812030075,-2100.4511278195487,-3840.0
2025-07-28,0.98,0.9924812030075187,0.1,0.9862406015037594,7298.18045112782,7400.0
2025-07-29,0.81,0.9624060150375939,0.11379699248120301,0.886203007518797,2020.5428571428572,2280.0
2025-07-30,0.7,0.9398496240601504,0.18007518796992483,0.8199248120300752,196.78195488721803,240.0
2025-07-31,0.37,0.9473684210526315,0.34131578947368424,0.6586842105263158,1528.1473684210525,2320.0
2025-08-01,0.285,0.9097744360902256,0.40261278195488726,0.5973872180451127,-382.3278195488722,-640.0
2025-08-04,0.265,0.9172932330827067,0.40885338345864664,0.5911466165413534,0.0,0.0
2025-08-05,0.4,0.9323308270676691,0.33383458646616543,0.6661654135338346,719.4586466165414,1080.0
2025-08-06,0.625,0.8721804511278195,0.25140977443609025,0.7485902255639098,-1332.4906015037593,-1780.0
2025-08-07,0.78,0.45864661654135336,0.3806766917293233,0.6193233082706767,-1659.7864661654137,-2680.0
2025-08-08,0.835,0.022556390977443608,0.5712218045112782,0.42877819548872176,-1998.1063909774434,-4660.0
2025-08-11,0.825,0.015037593984962405,0.5799812030075189,0.4200187969924812,-1696.875939849624,-4040.0
2025-08-12,0.96,0.7218045112781954,0.1590977443609023,0.8409022556390977,-1278.1714285714286,-1520.0
2025-08-13,0.985,0.6165413533834586,0.1992293233082707,0.8007706766917293,-2065.9883458646614,-2580.0
2025-08-14,0.98,0.6165413533834586,0.2017293233082707,0.7982706766917294,-159.65413533834587,-200.0
2025-08-15,0.985,0.5939849624060151,0.21050751879699248,0.7894924812030075,-1263.187969924812,-1600.0
2025-08-18,0.99,0.24812030075187969,0.38093984962406013,0.6190601503759399,-1448.6007518796994,-2340.0
2025-08-19,0.985,0.8872180451127819,0.1,0.936109022556391,1591.3853383458645,1700.0
2025-08-20,0.97,1.0,0.1,0.985,6461.6,6560.0
2025-08-21,0.96,0.9849624060150376,0.1,0.9724812030075187,-1731.0165413533832,-1780.0
2025-08-22,0.93,1.0,0.1,0.9650000000000001,3667.0000000000005,3800.0
2025-08-25,0.935,0.9774436090225563,0.1,0.9562218045112783,-401.61315789473684,-420.0
2025-08-26,0.89,0.9624060150375939,0.1,0.926203007518797,333.4330827067669,360.0
2025-08-27,0.895,0.9624060150375939,0.1,0.928703007518797,148.5924812030075,160.0
2025-08-28,0.88,0.9473684210526315,0.1,0.9136842105263158,657.8526315789474,720.0
2025-08-29,0.875,0.9473684210526315,0.1,0.9111842105263157,874.7368421052631,960.0
2025-09-01,0.84,0.9323308270676691,0.11383458646616545,0.8861654135338346,1435.5879699248121,1620.0
2025-09-02,0.88,0.9849624060150376,0.1,0.9324812030075188,2741.4947368421053,2940.0
2025-09-03,0.865,0.9473684210526315,0.1,0.9061842105263158,670.5763157894737,740.0
2025-09-04,0.895,0.8721804511278195,0.11640977443609024,0.8835902255639098,-1360.7289473684211,-1540.0
2025-09-05,0.93,0.8270676691729323,0.12146616541353383,0.8785338345864662,-737.9684210526316,-840.0
2025-09-08,0.93,0.7142857142857143,0.17785714285714282,0.8221428571428572,-443.95714285714286,-540.0
2025-09-09,0.88,0.8421052631578947,0.13894736842105265,0.8610526315789473,1635.9999999999998,1900.0
2025-09-10,0.82,0.8872180451127819,0.14639097744360907,0.8536090225563909,1860.8676691729322,2180.0
2025-09-11,0.74,0.8270676691729323,0.21646616541353386,0.7835338345864662,-219.38947368421054,-280.0
2025-09-12,0.705,0.8120300751879699,0.24148496240601508,0.7585150375939849,-121.36240601503758,-160.0
2025-09-15,0.705,0.6015037593984962,0.3467481203007519,0.6532518796992481,-992.9428571428572,-1520.0
2025-09-16,0.675,0.5864661654135338,0.3692669172932331,0.630733082706767,-315.36654135338347,-500.0
2025-09-17,0.665,0.5639097744360902,0.38554511278195486,0.6144548872180451,-282.64924812030074,-460.0
2025-09-18,0.62,0.7142857142857143,0.33285714285714285,0.6671428571428571,507.0285714285714,760.0
2025-09-19,0.61,0.6090225563909775,0.3904887218045113,0.6095112781954888,-658.2721804511278,-1080.0
2025-09-22,0.58,0.6842105263157895,0.3678947368421053,0.6321052631578947,341.33684210526314,540.0
2025-09-23,0.475,0.7368421052631579,0.3940789473684211,0.6059210526315789,-145.42105263157893,-240.0
2025-09-24,0.54,0.8120300751879699,0.32398496240601504,0.676015037593985,527.2917293233082,780.0
2025-09-25,0.545,0.6842105263157895,0.38539473684210523,0.6146052631578948,-712.9421052631579,-1160.0
2025-09-26,0.43,0.7744360902255639,0.39778195488721807,0.602218045112782,698.5729323308271,1160.0
2025-09-29,0.44,0.6804511278195489,0.4397744360902256,0.5602255639097744,-582.6345864661654,-1040.0
2025-09-30,0.3,0.7744360902255639,0.462781954887218,0.5372180451127819,601.6842105263157,1120.0
2025-10-09,0.28,0.7255639097744361,0.49721804511278195,0.5027819548872181,-271.50225563909777,-540.0
2025-10-10,0.255,0.7518796992481203,0.49656015037593987,0.5034398496240602,302.0639097744361,600.0
2025-10-13,0.2,0.7368421052631579,0.5315789473684212,0.46842105263157896,215.47368421052633,460.0
2025-10-14,0.14,0.6992481203007519,0.580375939849624,0.41962406015037595,-167.84962406015038,-400.0
2025-10-15,0.215,0.6466165413533834,0.5691917293233083,0.4308082706766917,-112.01015037593984,-260.0
2025-10-16,0.31,0.2857142857142857,0.7021428571428572,0.2978571428571428,-637.4142857142856,-2140.0
2025-10-17,0.58,0.21052631578947367,0.6047368421052632,0.3952631578947368,-276.6842105263158,-700.0
2025-10-20,0.65,0.3458646616541353,0.5020676691729323,0.49793233082706767,-79.66917293233082,-160.0
2025-10-21,0.705,0.3609022556390977,0.46704887218045116,0.5329511278195489,-21.318045112781956,-40.0
2025-10-22,0.88,0.12781954887218044,0.49609022556390975,0.5039097744360902,-574.4571428571428,-1140.0
2025-10-23,0.985,0.022556390977443608,0.49622180451127823,0.5037781954887218,-1420.6545112781955,-2820.0
2025-10-24,0.99,0.03759398496240601,0.48620300751879697,0.513796992481203,215.79473684210527,420.0
2025-10-27,0.995,0.015037593984962405,0.4949812030075188,0.5050187969924812,-1201.9447368421052,-2380.0
2025-10-28,0.995,0.19548872180451127,0.40475563909774437,0.5952443609022556,154.76353383458647,260.0
2025-10-29,1.0,0.09774436090225563,0.45112781954887216,0.5488721804511278,-691.578947368421,-1260.0
2025-10-30,1.0,0.12030075187969924,0.4398496240601504,0.5601503759398496,-280.0751879699248,-500.0
2025-10-31,0.995,0.7030075187969925,0.15099624060150374,0.8490037593984963,2224.3898496240604,2620.0
2025-11-03,0.995,0.5895522388059702,0.2077238805970149,0.792276119402985,-1188.4141791044776,-1500.0
2025-11-04,0.965,0.8592592592592593,0.1,0.9121296296296296,3393.1222222222223,3720.0
2025-11-05,0.96,0.8235294117647058,0.1082352941176471,0.8917647058823529,-517.2235294117647,-580.0
2025-11-06,0.965,0.6423357664233577,0.1963321167883212,0.8036678832116788,-1092.9883211678832,-1360.0
2025-11-07,0.975,0.2608695652173913,0.38206521739130433,0.6179347826086956,-1112.282608695652,-1800.0
2025-11-10,1.0,0.007194244604316547,0.49640287769784175,0.5035971223021583,-2487.7697841726617,-4940.0
2025-11-11,0.99,0.04285714285714286,0.4835714285714286,0.5164285714285715,361.5,700.0
2025-11-12,0.99,0.13120567375886524,0.43939716312056737,0.5606028368794326,-22.424113475177304,-40.0
2025-11-13,1.0,0.11267605633802817,0.44366197183098594,0.5563380281690141,-700.9859154929578,-1260.0
2025-11-14,0.97,0.2727272727272727,0.37863636363636366,0.6213636363636363,298.25454545454545,480.0
2025-11-17,1.0,0.006944444444444444,0.4965277777777778,0.5034722222222222,-3947.222222222222,-7840.0
2025-11-18,0.935,0.020689655172413793,0.5221551724137931,0.47784482758620694,802.7793103448276,1680.0
2025-11-19,0.95,0.00684931506849315,0.5215753424657534,0.47842465753424657,-2765.294520547945,-5780.0
2025-11-20,0.92,0.02040816326530612,0.5297959183673469,0.4702040816326531,150.465306122449,320.0
2025-11-21,0.87,0.7702702702702703,0.17986486486486486,0.8201351351351351,6528.275675675675,7960.0
2025-11-24,0.82,0.7583892617449665,0.2108053691275168,0.7891946308724832,426.1651006711409,540.0
2025-11-25,0.71,0.06666666666666667,0.6116666666666667,0.3883333333333333,-1910.6,-4920.0
2025-11-26,0.915,0.2185430463576159,0.43322847682119203,0.566771523178808,-532.7652317880795,-940.0
2025-11-27,0.955,0.40131578947368424,0.3218421052631579,0.6781578947368421,352.6421052631579,520.0
2025-11-28,0.975,0.3790849673202614,0.3229575163398693,0.6770424836601308,-406.22549019607845,-600.0
2025-12-01,0.995,0.4025974025974026,0.3012012987012987,0.6987987012987014,-363.3753246753247,-520.0
2025-12-02,0.995,0.5032258064516129,0.2508870967741936,0.7491129032258064,284.6629032258064,380.0
2025-12-03,0.995,0.7948717948717948,0.10506410256410259,0.8949358974358974,2595.3141025641025,2900.0
2025-12-04,0.99,0.7707006369426752,0.1196496815286624,0.8803503184713376,-35.214012738853505,-40.0
2025-12-05,0.99,0.8417721518987342,0.1,0.9158860759493671,1410.4645569620254,1540.0
2025-12-08,1.0,0.4968553459119497,0.25157232704402516,0.7484276729559749,-2005.7861635220127,-2680.0
2025-12-09,0.995,0.7375,0.13374999999999998,0.86625,1767.1499999999999,2040.0
