entry_date,exit_date,direction,size,hold_days,gross_ret,net_ret,exit_reason
2018-03-23,2018-03-27,-1,0.6,2,-0.011349817592217268,-0.014349817592217269,neutral_revert
2018-04-03,2018-04-10,-1,0.6,3,0.0084985835694051,0.0054985835694051,gmm_transition
2018-04-12,2018-04-16,-1,1.0,2,-0.0027513227513227515,-0.005751322751322752,gmm_transition
2018-05-04,2018-05-07,-1,1.0,1,-0.028707101230304337,-0.03170710123030434,neutral_revert
2018-06-25,2018-06-26,-1,1.0,1,-0.004435573297848747,-0.007435573297848747,gmm_transition
2018-07-04,2018-07-06,-1,1.0,2,0.021904336164506034,0.018904336164506035,gmm_transition
2018-07-10,2018-07-12,-1,1.0,2,0.029840388619014575,0.026840388619014575,neutral_revert
2018-07-13,2018-07-18,-1,0.6,3,-0.006312211701869385,-0.009312211701869386,neutral_revert
2018-08-16,2018-08-20,-1,1.0,2,-0.012336354481369587,-0.015336354481369587,neutral_revert
2018-10-10,2018-10-11,1,0.6,1,-0.01395247438412906,-0.01695247438412906,neutral_revert
2018-10-24,2018-10-25,1,1.0,1,-0.01663708961845608,-0.019637089618456078,neutral_revert
2019-03-01,2019-03-04,1,1.0,1,-0.007847533632286996,-0.010847533632286997,neutral_revert
2019-03-26,2019-03-27,1,0.6,1,-0.0006749156355455568,-0.003674915635545557,gmm_transition
2019-03-28,2019-04-02,1,0.6,3,0.010855117412494461,0.00785511741249446,neutral_revert
2019-05-22,2019-05-24,-1,0.6,2,0.0009777560498655585,-0.0020222439501344416,neutral_revert
2019-06-14,2019-06-18,-1,1.0,2,0.00845771144278607,0.00545771144278607,gmm_transition
2019-07-02,2019-07-03,-1,0.6,1,-0.0017843487127198571,-0.004784348712719857,gmm_transition
2019-07-05,2019-07-10,-1,0.6,3,0.011079618654985829,0.00807961865498583,neutral_revert
2020-01-06,2020-01-13,1,1.0,5,0.005783530707793996,0.0027835307077939964,gmm_transition
2020-01-22,2020-01-23,1,0.6,1,-0.008463008463008462,-0.011463008463008462,neutral_revert
2020-02-24,2020-02-27,-1,1.0,3,0.008134980415787888,0.005134980415787888,gmm_transition
2020-02-28,2020-03-02,-1,1.0,1,-0.018915510718789406,-0.021915510718789406,neutral_revert
2020-03-04,2020-03-05,-1,1.0,1,-0.003751172241325414,-0.006751172241325414,gmm_transition
2020-03-09,2020-03-10,-1,1.0,1,-0.029553485383874076,-0.03255348538387408,neutral_revert
2020-03-18,2020-03-20,-1,1.0,2,-0.011760752688172043,-0.014760752688172042,neutral_revert
2020-03-23,2020-03-24,-1,1.0,1,-0.018113465481886533,-0.021113465481886532,neutral_revert
2020-03-30,2020-03-31,-1,1.0,1,-0.0062997347480106105,-0.00929973474801061,neutral_revert
2020-04-29,2020-05-11,1,1.0,5,0.02841429880843263,0.02541429880843263,neutral_revert
2020-06-16,2020-06-18,1,0.6,2,0.010882708585247884,0.007882708585247884,gmm_transition
2020-06-19,2020-06-22,1,1.0,1,-0.009420076538121873,-0.012420076538121872,neutral_revert
2020-07-08,2020-07-14,1,0.6,4,0.05002925687536571,0.04702925687536571,gmm_transition
2020-07-27,2020-07-28,1,0.6,1,-0.00827357970215113,-0.011273579702151131,neutral_revert
2020-07-29,2020-08-03,1,1.0,3,0.005081572612998127,0.0020815726129981274,neutral_revert
2020-08-06,2020-08-10,1,1.0,2,-0.007487735605473793,-0.010487735605473794,neutral_revert
2020-09-01,2020-09-02,1,0.6,1,-0.006112469437652812,-0.009112469437652811,neutral_revert
2021-01-14,2021-01-18,-1,1.0,2,0.0002448579823702253,-0.0027551420176297747,gmm_transition
2021-01-22,2021-01-25,-1,1.0,1,-0.022255563890972743,-0.025255563890972742,neutral_revert
2021-01-26,2021-02-01,-1,1.0,4,0.0189952511872032,0.0159952511872032,neutral_revert
2021-06-18,2021-06-22,-1,1.0,2,0.012992933667654433,0.009992933667654434,neutral_revert
2021-07-21,2021-07-22,-1,0.6,1,-0.0006765899864682003,-0.0036765899864682006,gmm_transition
2021-08-03,2021-08-05,-1,0.6,2,0.00135623869801085,-0.0016437613019891501,gmm_transition
2021-10-12,2021-10-19,1,1.0,5,0.1493889591234724,0.14638895912347238,neutral_revert
2021-11-01,2021-11-02,1,1.0,1,-0.018707129494907503,-0.021707129494907502,gmm_transition
2021-11-05,2021-11-08,-1,1.0,1,-0.0037223560324063936,-0.006722356032406394,gmm_transition
2021-11-12,2021-11-17,-1,0.6,3,0.012076773776148372,0.009076773776148371,neutral_revert
2021-11-18,2021-11-19,-1,1.0,1,-0.022411474675033616,-0.025411474675033616,neutral_revert
2021-12-06,2021-12-07,-1,1.0,1,-0.005940594059405941,-0.008940594059405942,gmm_transition
2021-12-20,2021-12-21,-1,0.6,1,-0.00042589437819420784,-0.003425894378194208,gmm_transition
2022-01-12,2022-01-13,1,0.6,1,-0.0030138637733574444,-0.006013863773357444,gmm_transition
2022-01-28,2022-02-07,1,0.6,1,-0.008697371021941095,-0.011697371021941096,neutral_revert
2022-02-08,2022-02-09,1,0.6,1,-0.010194079592236817,-0.013194079592236816,neutral_revert
2022-02-10,2022-02-11,1,1.0,1,-0.008729388942774006,-0.011729388942774005,neutral_revert
2022-03-03,2022-03-04,1,0.6,1,-0.009571209800918835,-0.012571209800918835,neutral_revert
2022-03-07,2022-03-09,1,1.0,2,-0.01618975903614458,-0.019189759036144578,neutral_revert
2022-06-24,2022-06-28,-1,1.0,2,-0.012314756835733668,-0.015314756835733669,neutral_revert
2022-07-14,2022-07-18,-1,1.0,2,-0.029064486830154404,-0.03206448683015441,neutral_revert
2022-10-31,2022-11-01,-1,0.6,1,-0.003980539584254755,-0.006980539584254755,gmm_transition
2023-04-26,2023-04-28,-1,0.6,2,-0.0009407337723424271,-0.003940733772342427,neutral_revert
2023-05-04,2023-05-05,-1,1.0,1,-0.008767772511848342,-0.01176777251184834,neutral_revert
2023-05-16,2023-05-17,-1,1.0,1,-0.011890317884008735,-0.014890317884008734,neutral_revert
2023-05-19,2023-05-26,-1,0.6,5,0.07261360904063477,0.06961360904063477,neutral_revert
2023-07-13,2023-07-14,1,1.0,1,-0.0041392744095446795,-0.0071392744095446796,neutral_revert
2023-07-25,2023-07-28,1,1.0,3,0.008302808302808303,0.005302808302808303,gmm_transition
2023-07-31,2023-08-02,1,1.0,2,0.007898516036381044,0.0048985160363810435,gmm_transition
2023-08-04,2023-08-07,1,0.6,1,-0.004530281354315689,-0.007530281354315689,gmm_transition
2023-09-01,2023-09-04,1,1.0,1,-0.0018814675446848542,-0.004881467544684854,gmm_transition
2023-09-06,2023-09-08,1,0.6,2,-0.006312836100070143,-0.009312836100070143,neutral_revert
2023-09-11,2023-09-13,1,0.6,2,0.004422718808193668,0.0014227188081936681,neutral_revert
2023-09-14,2023-09-18,1,1.0,2,-0.005239179954441914,-0.008239179954441914,gmm_transition
2024-03-21,2024-03-22,1,0.6,1,-0.013704994192799072,-0.016704994192799073,gmm_transition
2024-04-08,2024-04-15,1,1.0,5,0.04948216340621404,0.046482163406214035,neutral_revert
2024-04-17,2024-04-19,1,1.0,2,0.006862962143015275,0.003862962143015275,neutral_revert
2024-04-24,2024-05-06,1,0.6,5,0.03325205054311683,0.03025205054311683,neutral_revert
