date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main,state_id,proba_max,close
2025-08-11,19389.0,-6500.0,20.0,0.9013434725908804,317676.0,1,1.0,81000.0
2025-08-12,20829.0,-4520.0,620.0,0.995405524324785,356998.0,1,0.9912,82520.0
2025-08-13,21679.0,-4100.0,860.0,1.10044853554667,392675.0,3,0.7242,85100.0
2025-08-14,21939.0,-3300.0,520.0,1.1904825394408205,389177.0,3,0.9005,85300.0
2025-08-15,23485.0,-4200.0,800.0,1.2977503237808672,401139.0,3,0.9873,86900.0
2025-08-18,23555.0,-4640.0,780.0,1.4237709329902786,421106.0,3,0.9979,89240.0
2025-08-19,23615.0,-1840.0,860.0,1.505375609879788,414097.0,3,0.9961,87540.0
2025-08-20,24045.0,4720.0,-40.0,1.4779108304651,395102.0,2,1.0,80980.0
2025-08-21,24320.0,2440.0,480.0,1.5003067138911623,390069.0,2,1.0,82760.0
2025-08-22,24990.0,4940.0,340.0,1.4946777772274435,362254.0,2,1.0,78960.0
2025-08-25,25630.0,3120.0,280.0,1.485348189278877,368667.0,2,1.0,79380.0
2025-08-26,26690.0,2680.0,440.0,1.4510459897493329,349496.0,2,0.9999,79020.0
2025-08-27,27477.0,2740.0,360.0,1.4072720753713266,351322.0,2,0.9999,78860.0
2025-08-28,28957.0,1860.0,200.0,1.3166734926895398,347063.0,2,0.9987,78140.0
2025-08-29,29887.0,2470.0,340.0,1.226488841660451,346605.0,2,0.9982,77180.0
2025-09-01,31197.0,2790.0,480.0,1.1318270020810564,339133.0,2,0.9952,75560.0
2025-09-02,32007.0,4880.0,220.0,1.0299136025576323,348109.0,2,0.9997,72620.0
2025-09-03,34118.0,4020.0,280.0,0.9806584957978148,346048.0,3,0.9983,71880.0
2025-09-04,34948.0,1580.0,100.0,0.9618321177171332,353674.0,2,0.9495,73420.0
2025-09-05,36631.0,490.0,-20.0,0.9879434649491048,364002.0,2,0.9464,74260.0
2025-09-08,37451.0,-200.0,40.0,1.012156245541814,364137.0,2,0.9323,74800.0
2025-09-09,38101.0,1700.0,-20.0,1.0464417454327055,351340.0,2,0.9853,72900.0
2025-09-10,38101.0,2730.0,160.0,1.0784261829027453,340814.0,1,0.9951,70720.0
2025-09-11,38391.0,1850.0,260.0,1.0828585742089083,323456.0,1,0.9671,71000.0
2025-09-12,38625.0,1290.0,160.0,1.0398108879041352,309402.0,1,0.775,71160.0
2025-09-15,38963.0,-230.0,220.0,0.899814883558626,309446.0,1,0.8961,72680.0
2025-09-16,38824.0,-330.0,280.0,0.7463384764580483,300437.0,1,0.9947,73180.0
2025-09-17,39234.0,-490.0,0.0,0.7022370715569916,294624.0,1,0.9999,73640.0
2025-09-18,39354.0,570.0,260.0,0.6093149677751454,281411.0,1,0.9998,72880.0
2025-09-19,39484.0,-460.0,100.0,0.5722227935284117,281264.0,1,1.0,73960.0
2025-09-22,38909.0,430.0,320.0,0.519643723704063,271624.0,2,0.9998,73420.0
2025-09-23,39449.0,190.0,200.0,0.4613865925828691,255907.0,0,0.9913,73660.0
2025-09-24,39749.0,970.0,180.0,0.3923689619093662,260654.0,0,0.9921,72880.0
2025-09-25,40309.0,-290.0,260.0,0.3233902016208554,261141.0,0,0.9828,74040.0
2025-09-26,40329.0,720.0,100.0,0.2618452635821201,248640.0,0,0.9769,72880.0
2025-09-29,41119.0,-370.0,440.0,0.235874281472359,251749.0,0,0.9863,73920.0
2025-09-30,41709.0,750.0,180.0,0.2353569375956804,231964.0,2,0.983,72800.0
