date,warehouse_stock,basis_spot_main,spread_near1_near3,hv_20d,oi_main
2024-10-08,44683.0,600.0,-2500.0,0.4846816343312692,211822
2024-10-09,44753.0,600.0,-2250.0,0.48675372337885064,210574
2024-10-10,44693.0,3250.0,-2500.0,0.4930479017914659,211131
2024-10-11,44087.0,2550.0,-4350.0,0.49072147513308323,198642
2024-10-14,45084.0,2750.0,-3550.0,0.4479869737254339,199837
2024-10-15,45189.0,2200.0,-3750.0,0.40762085485579636,186900
2024-10-16,45059.0,4250.0,-2850.0,0.4462263503597686,188680
2024-10-17,44969.0,6100.0,-3050.0,0.5374949120611768,181603
2024-10-18,44341.0,3000.0,-3500.0,0.5603269858954655,160820
2024-10-21,43439.0,1050.0,-2050.0,0.5635298316769288,194121
2024-10-22,43052.0,-400.0,-3650.0,0.5483434354327662,207436
2024-10-23,43499.0,-1600.0,-3750.0,0.5481920285561801,216843
2024-10-24,43340.0,-900.0,-3300.0,0.5454172208144474,221888
2024-10-25,43416.0,-1400.0,-3550.0,0.5440402208111196,231011
2024-10-28,44215.0,-3000.0,-3800.0,0.552919721700595,226101
2024-10-29,44345.0,-850.0,-3600.0,0.5422971602507959,224862
2024-10-30,44405.0,0.0,-3650.0,0.5354907746311524,223987
2024-10-31,44852.0,-1150.0,-1900.0,0.5197765063887478,235041
2024-11-01,45161.0,-2650.0,-1500.0,0.5149254428035132,232925
2024-11-04,46522.0,-2650.0,-1250.0,0.4676209304975845,235708
2024-11-05,47861.0,-2400.0,-1350.0,0.4771024152904891,235236
2024-11-06,47881.0,-950.0,-1900.0,0.4722537145388019,226178
2024-11-07,48301.0,-1900.0,-1250.0,0.4887484563453438,231268
2024-11-08,47959.0,-1000.0,-1850.0,0.49854182471621084,229434
2024-11-11,49106.0,-5450.0,-2450.0,0.5748192284247644,273799
2024-11-12,48926.0,-4450.0,-2850.0,0.637524708944819,285848
2024-11-13,50196.0,-8300.0,-2100.0,0.7739462108358434,322905
2024-11-14,50166.0,-2050.0,1250.0,0.7129115783793284,293494
2024-11-15,49719.0,400.0,-150.0,0.6547108758044632,276214
2024-11-18,53115.0,-2500.0,-100.0,0.6404962289777066,276906
2024-11-19,53335.0,-3900.0,-200.0,0.6564893607970083,285988
2024-11-20,52988.0,-3650.0,-100.0,0.6786587309728589,284814
2024-11-21,53287.0,-2550.0,-450.0,0.670940026030685,277950
2024-11-22,53317.0,-400.0,-200.0,0.6468938331399106,267851
2024-11-25,53300.0,-1250.0,-300.0,0.6423127543048132,260097
2024-11-26,52556.0,250.0,-450.0,0.6133926355597573,255424
2024-11-27,50385.0,100.0,-450.0,0.5604648107081647,246898
2024-11-28,49829.0,-300.0,-400.0,0.5201323005805473,242286
2024-11-29,21706.0,-350.0,-850.0,0.5026355029670089,240854
2024-12-02,22966.0,100.0,-850.0,0.49425957511721635,239434
2024-12-03,23096.0,250.0,-1000.0,0.48859912616978945,230115
2024-12-04,27686.0,1800.0,-500.0,0.4821274021617204,217701
2024-12-05,29446.0,600.0,-450.0,0.4868564598493037,207470
2024-12-06,34694.0,250.0,-800.0,0.4833109893475322,197237
2024-12-09,36941.0,-300.0,-700.0,0.49725142626018615,187549
2024-12-10,38784.0,50.0,1000.0,0.5082275585675943,178957
2024-12-11,39827.0,-100.0,-650.0,0.41030830147698877,168290
2024-12-12,41633.0,-500.0,-950.0,0.405260462489339,159582
2024-12-13,42268.0,600.0,200.0,0.4250081207718611,147208
