date,close,open,high,low,volume,position,P_fund,basis,spot_avg,D_f,D_c,profit_f,profit_c,n_f,n_c,Total_Demand,n_f_minus_n_c,valid
2024-07-09,94150.0,93450.0,94800.0,92850.0,131239,170658,94150.0,-3100.0,90450.0,0.0,250.0,0.0,1676250.0,7.124576406741286e-218,1.0,250.0,-1.0,1
2024-07-10,91800.0,93900.0,94400.0,91600.0,149171,176216,91800.0,-3750.0,90350.0,0.0,-1175.0,0.0,3300000.0,7.124576406741286e-218,1.0,-1175.0,-1.0,1
2024-07-11,92500.0,92000.0,92900.0,90300.0,155537,169488,92500.0,-2200.0,89850.0,0.0,350.0,0.0,2948750.0,7.124576406741286e-218,1.0,350.0,-1.0,1
2024-07-12,91350.0,92500.0,93000.0,91000.0,95103,170948,91350.0,-2200.0,89750.0,0.0,-575.0,0.0,2253750.0,7.124576406741286e-218,1.0,-575.0,-1.0,1
2024-07-15,87950.0,90800.0,91450.0,87950.0,163344,186340,87950.0,-800.0,89450.0,0.0,-1700.0,0.0,3713750.0,7.124576406741286e-218,1.0,-1700.0,-1.0,1
2024-07-16,88800.0,87900.0,89300.0,87100.0,139709,183897,88800.0,-300.0,87950.0,0.0,425.0,0.0,618750.0,7.124576406741286e-218,1.0,425.0,-1.0,1
2024-07-17,86850.0,89000.0,89500.0,86800.0,122188,189619,86850.0,-750.0,87350.0,0.0,-975.0,0.0,1590000.0,7.124576406741286e-218,1.0,-975.0,-1.0,1
2024-07-18,87950.0,86500.0,88800.0,86450.0,116472,188020,87950.0,-650.0,86450.0,0.0,550.0,0.0,277500.0,7.124576406741286e-218,1.0,550.0,-1.0,1
2024-07-19,89800.0,87500.0,90550.0,87300.0,227163,188958,89800.0,-1200.0,86400.0,0.0,925.0,0.0,1795000.0,7.124576406741286e-218,1.0,925.0,-1.0,1
2024-07-22,88950.0,88900.0,89450.0,88200.0,103539,189656,88950.0,-2100.0,86350.0,0.0,-425.0,0.0,-3178750.0,1.0,7.124576406741286e-218,-3.0279449728650466e-215,1.0,1
2024-07-23,87900.0,88850.0,90350.0,87500.0,142439,186336,87900.0,-3150.0,86350.0,0.0,-525.0,0.0,115000.0,7.124576406741286e-218,1.0,-525.0,-1.0,1
2024-07-24,86900.0,88250.0,88500.0,86500.0,131926,188091,86900.0,-900.0,85900.0,0.0,-500.0,0.0,-1315000.0,1.0,7.124576406741286e-218,-3.562288203370643e-215,1.0,1
2024-07-25,87050.0,86300.0,87350.0,85000.0,141988,188050,87050.0,-1100.0,84850.0,0.0,75.0,0.0,-3747500.0,1.0,7.124576406741286e-218,5.343432305055964e-216,1.0,1
2024-07-26,85850.0,87800.0,88300.0,85850.0,117347,193373,85850.0,-2050.0,84850.0,0.0,-600.0,0.0,-3735000.0,1.0,7.124576406741286e-218,-4.274745844044771e-215,1.0,1
2024-07-29,83400.0,85750.0,86450.0,83200.0,162135,207937,83400.0,-1150.0,84250.0,0.0,-1225.0,0.0,-2207500.0,1.0,7.124576406741286e-218,-8.727606098258074e-215,1.0,1
2024-07-30,81150.0,83650.0,84000.0,80700.0,181988,215920,81150.0,350.0,82400.0,0.0,-1125.0,0.0,1468750.0,7.124576406741286e-218,1.0,-1125.0,-1.0,1
2024-07-31,82700.0,82000.0,84100.0,81800.0,191801,209232,82700.0,-200.0,82000.0,0.0,775.0,0.0,125000.0,7.124576406741286e-218,1.0,775.0,-1.0,1
2024-08-01,80850.0,83200.0,83900.0,80450.0,172722,222825,80850.0,-50.0,81700.0,0.0,-925.0,0.0,-1158750.0,1.0,7.124576406741286e-218,-6.590233176235689e-215,1.0,1
2024-08-02,81000.0,80200.0,82150.0,79600.0,179822,215611,81000.0,400.0,80800.0,0.0,75.0,0.0,-1312500.0,1.0,7.124576406741286e-218,5.343432305055964e-216,1.0,1
2024-08-05,81500.0,80200.0,82450.0,80000.0,161386,210593,81500.0,0.0,80500.0,0.0,250.0,0.0,-1281250.0,1.0,7.124576406741286e-218,1.7811441016853215e-215,1.0,1
2024-08-06,81250.0,82000.0,82200.0,80900.0,112245,207139,81250.0,-1200.0,80500.0,0.0,-125.0,0.0,-1281250.0,1.0,7.124576406741286e-218,-8.905720508426607e-216,1.0,1
2024-08-07,80300.0,81850.0,81850.0,80100.0,90947,209655,80300.0,-500.0,80400.0,0.0,-475.0,0.0,-575000.0,1.0,7.124576406741286e-218,-3.3841737932021105e-215,1.0,1
