date,close,label_ret_1d,label_ret_3d,label_ret_5d,n_c,Total_Demand,n_f_minus_n_c,basis,basis_rate,spot_avg,volume,position,ret_5d,ret_10d,ret_20d,fi_supply,fi_demand,fi_inventory,fi_profit,fi_sentiment,fi_basis,fi_composite,warehouse_inventory,social_inventory
2024-01-16,104150.000000,-0.023044,-0.026404,-0.020643,1.000000,1100.000000,-1.000000,-7700.000000,-7.979275,96500.000000,109517.000000,159478.000000,0.052552,-0.038763,0.013625,-0.798800,1.021100,-0.701700,-0.284000,,0.063000,-0.140100,,
2024-01-17,101750.000000,0.006388,-0.018673,0.005897,0.000000,-0.000000,1.000000,-8350.000000,-8.652850,96500.000000,131788.000000,156573.000000,0.039326,-0.045497,-0.001472,-0.798800,1.021100,-0.701700,-0.267000,,0.236200,-0.102000,,
2024-01-18,102400.000000,-0.009766,-0.003906,-0.010254,0.000000,0.000000,1.000000,-5600.000000,-5.803109,96500.000000,125726.000000,154594.000000,-0.021968,0.019413,0.015873,-0.553500,1.021100,-0.932300,-0.256100,,0.263800,-0.091400,,
2024-01-19,101400.000000,-0.015286,0.009369,-0.007396,0.000000,-0.000000,1.000000,-5000.000000,-5.181347,96500.000000,87317.000000,155078.000000,-0.014098,0.027876,0.038934,-0.553500,1.021100,-0.932300,-0.245900,,0.158000,-0.110500,,
2024-01-22,99850.000000,0.021532,0.015023,0.021032,1.000000,-775.000000,-1.000000,-4400.000000,-4.559585,96500.000000,108433.000000,152252.000000,-0.020598,0.027263,-0.009425,-0.553500,1.021100,-0.932300,-0.227400,,0.056500,-0.127100,,
2024-01-23,102000.000000,0.003431,-0.013235,-0.009804,0.000000,0.000000,1.000000,-4450.000000,-4.611399,96500.000000,92608.000000,148288.000000,-0.020643,0.030824,-0.008264,-0.553500,1.021100,-0.932300,-0.213000,,0.032800,-0.129000,,
2024-01-24,102350.000000,-0.009770,-0.003908,-0.031265,0.000000,0.000000,1.000000,-5800.000000,-6.010363,96500.000000,72518.000000,148399.000000,0.005897,0.045455,-0.044351,-0.553500,1.021100,-0.932300,-0.200600,,-0.101100,-0.153300,,
2024-01-25,101350.000000,-0.006907,-0.003453,-0.017267,0.000000,-0.000000,1.000000,-4900.000000,-5.077720,96500.000000,85085.000000,149167.000000,-0.010254,-0.031996,-0.041154,-0.572500,1.021100,-1.018500,-0.176400,,-0.086500,-0.166600,,
2024-01-26,100650.000000,0.012916,-0.014903,-0.004968,0.000000,-0.000000,1.000000,-5600.000000,-5.803109,96500.000000,80796.000000,148248.000000,-0.007396,-0.021390,-0.055373,-0.572500,1.021100,-1.018500,-0.160700,,0.000100,-0.146100,,
2024-01-29,101950.000000,-0.009318,-0.023051,-0.014713,0.000000,0.000000,1.000000,-4250.000000,-4.392765,96750.000000,77321.000000,144728.000000,0.021032,0.000000,-0.053389,-0.572500,1.021100,-1.018500,-0.117000,,-0.201200,-0.177600,,
