date,basis,spot_avg
2008-10-30,,60500.0
2008-10-31,,60500.0
2008-11-03,,60500.0
2008-11-04,,60500.0
2008-11-05,,60500.0
2008-11-06,,60500.0
2008-11-07,,60500.0
2008-11-10,,60500.0
2008-11-11,,42000.0
2008-11-12,,42000.0
2008-11-13,,42000.0
2008-11-14,,42000.0
2008-11-17,,42000.0
2008-11-18,,42000.0
2008-11-19,,42000.0
2008-11-20,,42000.0
2008-11-21,,42000.0
2008-11-24,,42000.0
2008-11-25,,42000.0
2008-11-26,,42000.0
2008-11-27,,42000.0
2008-11-28,,42000.0
2008-12-01,,42000.0
2008-12-02,,42000.0
2008-12-03,,42000.0
2008-12-04,,42000.0
2008-12-05,,42000.0
2008-12-08,,42000.0
2008-12-09,,42000.0
2008-12-10,,42000.0
2008-12-11,,42000.0
2008-12-12,,42000.0
2008-12-15,,42000.0
2008-12-16,,42000.0
2008-12-17,,42000.0
2008-12-18,,42000.0
2008-12-19,,42000.0
2008-12-22,,42000.0
2008-12-23,,42000.0
2008-12-24,,42000.0
2008-12-25,,42000.0
2008-12-26,,39000.0
2008-12-29,,39000.0
2008-12-30,,39000.0
2008-12-31,,39000.0
2009-01-05,,39000.0
2009-01-06,,39000.0
2009-01-07,,39000.0
2009-01-08,,39000.0
2009-01-09,,39000.0
2009-01-12,,39000.0
2009-01-13,,39000.0
2009-01-14,,39000.0
2009-01-15,,39000.0
2009-01-16,,40500.0
2009-01-19,,40500.0
2009-01-20,,40500.0
2009-01-21,,40500.0
2009-01-22,,40500.0
2009-01-23,,40500.0
2009-02-02,,40500.0
2009-02-03,,40500.0
2009-02-04,,40500.0
2009-02-05,,40500.0
2009-02-06,,40500.0
2009-02-09,,40500.0
2009-02-10,,40500.0
2009-02-11,,40500.0
2009-02-12,,40500.0
2009-02-13,,40500.0
2009-02-16,,40500.0
2009-02-17,,40500.0
2009-02-18,,40500.0
2009-02-19,,40500.0
2009-02-20,,40500.0
2009-02-23,,40500.0
2009-02-24,,40500.0
2009-02-25,,40500.0
2009-02-26,,40500.0
2009-02-27,,40500.0
2009-03-02,,40500.0
2009-03-03,,40500.0
2009-03-04,,40500.0
2009-03-05,,40500.0
2009-03-06,,40500.0
2009-03-09,,40500.0
2009-03-10,,40500.0
2009-03-11,,40500.0
2009-03-12,,40500.0
2009-03-13,,40500.0
2009-03-16,,40500.0
2009-03-17,,40500.0
2009-03-18,,40500.0
2009-03-19,,40500.0
2009-03-20,,40500.0
2009-03-23,,40500.0
2009-03-24,,40500.0
2009-03-25,,40500.0
2009-03-26,,40500.0
2009-03-27,,40500.0
2009-03-30,,40500.0
2009-03-31,,40500.0
2009-04-01,,40500.0
2009-04-02,,40500.0
2009-04-03,,40500.0
2009-04-07,,40500.0
2009-04-08,,40500.0
2009-04-09,,40500.0
2009-04-10,,40500.0
2009-04-13,,40500.0
2009-04-14,,40500.0
2009-04-15,,40500.0
2009-04-16,,40500.0
2009-04-17,,40500.0
2009-04-20,,40500.0
2009-04-21,,40500.0
2009-04-22,,40500.0
2009-04-23,,40500.0
2009-04-24,,40500.0
2009-04-27,,40500.0
2009-04-28,,40500.0
2009-04-29,,40500.0
2009-04-30,,42000.0
2009-05-04,,42000.0
2009-05-05,,42000.0
2009-05-06,,42000.0
2009-05-07,,42000.0
2009-05-08,,42000.0
2009-05-11,,42000.0
2009-05-12,,42000.0
2009-05-13,,42000.0
2009-05-14,,42000.0
2009-05-15,,42000.0
2009-05-18,,42000.0
2009-05-19,,42000.0
2009-05-20,,42000.0
2009-05-21,,42000.0
2009-05-22,,42000.0
2009-05-25,,42000.0
2009-05-26,,42000.0
2009-05-27,,42000.0
2009-06-01,,42000.0
2009-06-02,,42000.0
2009-06-03,,42000.0
2009-06-04,,42000.0
2009-06-05,,42000.0
2009-06-08,,42000.0
2009-06-09,,42000.0
2009-06-10,,42000.0
2009-06-11,,42000.0
2009-06-12,,42000.0
2009-06-15,,42000.0
2009-06-16,,42000.0
2009-06-17,,42000.0
2009-06-18,,42000.0
2009-06-19,,42000.0
2009-06-22,,42000.0
2009-06-23,,42000.0
2009-06-24,,42000.0
2009-06-25,,42000.0
2009-06-26,,42500.0
2009-06-29,,42500.0
2009-06-30,,42500.0
2009-07-01,,42500.0
2009-07-02,,42500.0
2009-07-03,,42500.0
2009-07-06,,42500.0
2009-07-07,,42500.0
2009-07-08,,42500.0
2009-07-09,,42500.0
2009-07-10,,42500.0
2009-07-13,,42500.0
2009-07-14,,42500.0
2009-07-15,,42500.0
2009-07-16,,42500.0
2009-07-17,,42500.0
2009-07-20,,42500.0
2009-07-21,,42500.0
2009-07-22,,42500.0
2009-07-23,,42500.0
2009-07-24,,42500.0
2009-07-27,,42500.0
2009-07-28,,42500.0
2009-07-29,,42500.0
2009-07-30,,42500.0
2009-07-31,,42500.0
2009-08-03,,42500.0
2009-08-04,,42500.0
2009-08-05,,42500.0
2009-08-06,,42500.0
2009-08-07,,42500.0
2009-08-10,,42500.0
2009-08-11,,42500.0
2009-08-12,,42500.0
2009-08-13,,42500.0
2009-08-14,,42500.0
2009-08-17,,42500.0
2009-08-18,,42500.0
2009-08-19,,42500.0
2009-08-20,,42500.0
2009-08-21,,42500.0
2009-08-24,,42500.0
2009-08-25,,42500.0
2009-08-26,,42500.0
2009-08-27,,42500.0
2009-08-28,,42500.0
2009-08-31,,42500.0
2009-09-01,,42500.0
2009-09-02,,42500.0
2009-09-03,,42500.0
2009-09-04,,42500.0
2009-09-07,,42500.0
2009-09-08,,42500.0
2009-09-09,,42500.0
2009-09-10,,42500.0
2009-09-11,,42500.0
2009-09-14,,42500.0
2009-09-15,,42500.0
2009-09-16,,42500.0
