date,close,P_fund,Total_Demand,n_f,n_c,n_f_minus_n_c,D_f,D_c,profit_f,profit_c,valid
2025-09-01,22175.0,22857.03236442205,330330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-02,22325.0,23006.429374093168,330330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-03,22285.0,22960.17205868522,330330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-04,22120.0,22785.350451756436,289100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-05,22155.0,22769.612481379736,289100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-08,22270.0,22883.287460482123,289100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-09,22125.0,22729.984115731742,289100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-10,22215.0,22818.305091012655,289100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-11,22250.0,22850.31048950596,332345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-12,22305.0,22903.056966057193,332345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-15,22310.0,22904.688410953284,332345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-16,22255.0,22844.984694193987,332345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-17,22285.0,22872.819698615785,332345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-18,22045.0,22623.868666318103,337400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-19,22040.0,22616.460160222236,337400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-22,22090.0,22665.870614865013,337400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-23,21845.0,22411.24470486451,337400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-24,21860.0,22423.658412526536,337400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-25,22045.0,22610.725160559596,332370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-26,21980.0,22302.3171309091,332370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-29,21800.0,22114.30644064891,332370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-09-30,21825.0,22134.298203662664,332370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-09,22315.0,22625.76464159312,277630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-10,22270.0,22376.41789619894,277630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-13,22255.0,22352.2627969079,277630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-14,22220.0,22308.61437995603,277630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-15,22015.0,22094.094442428624,277630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-16,21940.0,22009.835373747803,336490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-17,21830.0,21745.577702017443,336490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-20,21850.0,21753.073969722635,336490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-21,21970.0,21859.320053937245,336490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-22,22000.0,21875.097037626212,336490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-23,22345.0,22202.871594567423,342270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-24,22355.0,21941.784017825834,342270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-27,22365.0,21927.054494351185,342270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-28,22310.0,21853.041546284087,342270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-29,22430.0,21948.9188352832,342270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-30,22365.0,21862.031912474027,342620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-10-31,22355.0,21055.233895332003,342620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-03,22565.0,21237.79782862627,342620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-04,22670.0,21320.88441267176,342620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-05,22650.0,21285.888144402474,342620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-06,22675.0,21292.690673980396,318270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-07,22720.0,20917.641617249672,318270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-10,22670.0,20880.296252539538,318270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-11,22675.0,20893.482872547276,318270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-12,22680.0,20906.566824919166,318270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-13,22740.0,20970.269937421082,341395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-14,22425.0,20592.595288321365,341395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-17,22465.0,20642.280000231764,341395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-18,22310.0,20512.484510187423,341395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-11-19,22435.0,20639.883058563828,341395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
