window,factor,quintile,mean_fwd_ret,n
14,f_wh_basis,1,0.04648559776483758,4
14,f_wh_basis,2,0.05392801015238126,4
14,f_wh_basis,3,0.08159573702901086,4
14,f_wh_basis,4,-0.013248545217369258,4
14,f_wh_basis,5,0.008943805803313165,4
14,f_wh_basis_x_stockpct,1,0.08636208696740015,4
14,f_wh_basis_x_stockpct,2,0.04916166021399196,4
14,f_wh_basis_x_stockpct,3,0.05412109084196488,4
14,f_wh_basis_x_stockpct,4,0.0015888091972957666,4
14,f_wh_basis_x_stockpct,5,-0.013529041688479165,4
14,f_oprate_pct20,1,-0.018730101498761205,4
14,f_oprate_pct20,2,0.014425362084705108,4
14,f_oprate_pct20,3,0.04920046560410755,4
14,f_oprate_pct20,4,0.046446792374722,4
14,f_oprate_pct20,5,0.08636208696740015,4
14,f_prod_pct20,1,-0.018730101498761205,4
14,f_prod_pct20,2,0.014425362084705108,4
14,f_prod_pct20,3,0.04920046560410755,4
14,f_prod_pct20,4,0.046446792374722,4
14,f_prod_pct20,5,0.08636208696740015,4
14,f_cell_pct20,1,0.08342054196191541,4
14,f_cell_pct20,2,0.049388337380206745,4
14,f_cell_pct20,3,0.04920046560410755,4
14,f_cell_pct20,4,0.01759701466610735,4
14,f_cell_pct20,5,-0.021901754080163448,4
15,f_stock_pct20,1,0.16279163826841964,4
15,f_stock_pct20,2,0.09045945519052642,4
15,f_stock_pct20,3,0.19369712446521384,4
15,f_stock_pct20,4,0.11095671883320918,4
15,f_stock_pct20,5,0.14658998916529697,4
15,f_wh_basis,1,0.15010628186157132,4
15,f_wh_basis,2,0.12288777897576242,4
15,f_wh_basis,3,0.13172731545864258,4
15,f_wh_basis,4,0.15318356046139275,4
15,f_wh_basis,5,0.14658998916529697,4
15,f_wh_basis_x_stockpct,1,0.14658998916529697,4
15,f_wh_basis_x_stockpct,2,0.1737377470929569,4
15,f_wh_basis_x_stockpct,3,0.12633352716807578,4
15,f_wh_basis_x_stockpct,4,0.07023962559543477,4
15,f_wh_basis_x_stockpct,5,0.18759403690090165,4
15,f_oprate_pct20,1,0.07209933532727116,4
15,f_oprate_pct20,2,0.1436640030923446,4
15,f_oprate_pct20,3,0.17032169439765943,4
15,f_oprate_pct20,4,0.1381062099148902,4
15,f_oprate_pct20,5,0.18030368319050066,4
15,f_prod_pct20,1,0.07209933532727116,4
15,f_prod_pct20,2,0.1436640030923446,4
15,f_prod_pct20,3,0.17032169439765943,4
15,f_prod_pct20,4,0.1381062099148902,4
15,f_prod_pct20,5,0.18030368319050066,4
15,f_cell_pct20,1,0.15998343044001015,4
15,f_cell_pct20,2,0.18030368319050066,4
15,f_cell_pct20,3,0.11095671883320918,4
15,f_cell_pct20,4,0.07571274885398335,4
15,f_cell_pct20,5,0.17753834460496273,4
16,f_stock_pct20,1,0.18079077836876462,4
16,f_stock_pct20,2,0.19485827909904516,4
16,f_stock_pct20,3,0.062040355332792674,4
16,f_stock_pct20,4,0.07566479223961803,4
16,f_stock_pct20,5,-0.05598110689624841,4
16,f_wh_basis,1,-0.014651224561747517,4
16,f_wh_basis,2,0.12521937453633264,4
16,f_wh_basis,3,0.14315018660940598,4
16,f_wh_basis,4,0.10161772615334333,4
