window,factor,ic_train,pval_train,n_train
23,f_cell_pct20,0.009737498522194589,0.8967759513905853,180
24,f_stock_pct20,-0.6893710711235943,1.0282547614667356e-26,180
24,f_wh_basis,-0.10452136087543946,0.16260628154228074,180
24,f_wh_basis_x_stockpct,0.2345216416144531,0.0015305370596082433,180
24,f_oprate_pct20,0.013266440771477959,0.8597002380972736,180
24,f_prod_pct20,0.09383863694559574,0.2102154685270002,180
24,f_cell_pct20,0.0463517564461537,0.5366584898962989,180
25,f_stock_pct20,-0.7138142123728097,2.4248937299883028e-29,180
25,f_wh_basis,-0.06630077538946302,0.37653715538944915,180
25,f_wh_basis_x_stockpct,0.2032531868267539,0.0062086298823878705,180
25,f_oprate_pct20,0.05323331854359251,0.4778730029382673,180
25,f_prod_pct20,0.13067258147722968,0.08038653473173535,180
25,f_cell_pct20,0.1426205242160064,0.056146152145567944,180
26,f_stock_pct20,-0.7431484510838813,6.975637474984381e-33,180
26,f_wh_basis,0.009395390373816913,0.9003834436648097,180
26,f_wh_basis_x_stockpct,0.25045011677315143,0.0006965378251194209,180
26,f_oprate_pct20,0.04933996567243273,0.5106961264048426,180
26,f_prod_pct20,0.14421430325242895,0.05342529373797299,180
26,f_cell_pct20,0.10822553920077972,0.14813979852733947,180
27,f_stock_pct20,-0.6960832124448286,2.074401440344325e-27,180
27,f_wh_basis,0.05826641144562819,0.4371940323387121,180
27,f_wh_basis_x_stockpct,0.33396709774993055,4.612954756860729e-06,180
27,f_oprate_pct20,0.23626447736950687,0.001407705651446157,180
27,f_prod_pct20,0.30604785965698017,2.938809300619203e-05,180
27,f_cell_pct20,0.15207370570343656,0.04155620453857058,180
28,f_stock_pct20,-0.6079138245007562,1.434157458817284e-19,180
28,f_wh_basis,-0.002328271939718286,0.975254014609921,180
28,f_wh_basis_x_stockpct,0.3518874039322201,1.2724707436498197e-06,180
28,f_oprate_pct20,0.29487680229423524,5.8608722483683474e-05,180
28,f_prod_pct20,0.34371833247587674,2.3116838809121933e-06,180
28,f_cell_pct20,0.061655981303396036,0.41095083007633804,180
29,f_stock_pct20,-0.5507639124664341,1.1444233162085146e-15,180
